episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,aloss,closs,reward
1,1171200,576000,0.250701,2.104570,0.474934,0.000000,26,0,0,0,0
2,1171200,576000,0.256944,1.917272,0.469974,0.011111,26,5,0,327188.6875,-572.0040962621607
3,1171200,672000,0.400000,3.550000,0.478723,0.000000,26,8,0,327049.59375,-572.0040962621607
4,1171200,672000,0.250000,3.000000,0.441176,0.000000,26,8,0,332716.25,-577.3804403481822
5,1171200,576000,0.000000,3.166667,0.472441,0.000000,26,5,0,331695.71875,-577.3804403481822
6,1171200,672000,0.000000,2.796429,0.430622,0.005556,26,8,0,325026.03125,-572.0040962621607
7,1171200,576000,0.375000,3.238095,0.244898,0.005556,26,2,0,330473.125,-577.3804403481822
8,940800,576000,0.428571,3.214286,0.462725,0.005556,26,1,0,323750.78125,-572.0040962621607
9,710400,576000,0.400000,2.750000,0.467532,0.000000,26,0,0,312172.375,-562.4802867383512
10,710400,576000,0.200000,1.733333,0.445545,0.011111,26,3,0,300888.28125,-552.9564772145417
11,940800,672000,0.428571,1.450000,0.476190,0.000000,26,7,0,300321.78125,-552.9564772145417
12,1171200,576000,0.166667,2.738095,0.480000,0.000000,26,5,0,316588.375,-567.8566308243727
13,940800,672000,0.400000,2.600000,0.489130,0.000000,26,7,0,320516.1875,-572.0040962621607
14,710400,576000,0.285714,1.400000,0.487805,0.000000,26,3,0,313812.375,-567.8566308243727
15,1171200,672000,0.200000,1.666667,0.434783,0.000000,26,8,0,296404.5625,-552.9564772145417
16,1171200,576000,0.750000,2.600000,0.459184,0.005556,26,5,0,323674.1875,-577.3804403481822
17,940800,672000,0.833333,3.416667,0.477454,0.016667,26,7,0,315802.09375,-572.0040962621607
18,710400,576000,0.333333,2.916667,0.480000,0.005556,25,3,0,308645.5625,-567.8566308243727
19,1171200,576000,1.000000,2.666667,0.455696,0.000000,25,5,0,289868.53125,-553.289810547875
20,710400,672000,0.833333,2.250000,0.478723,0.000000,25,6,0,309773.09375,-572.3374295954941
21,940800,576000,0.000000,2.833333,0.490463,0.000000,25,1,0,292786.40625,-558.6661546338966
22,940800,576000,0.200000,1.083333,0.480000,0.005556,25,4,0,296084.78125,-562.8136200716846
23,1171200,672000,0.428571,2.700000,0.489130,0.000000,25,8,0,292462.0,-562.8136200716846
24,940800,576000,0.500000,2.250000,0.461538,0.000000,25,4,0,310376.09375,-577.7137736815156
25,940800,576000,1.200000,2.250000,0.368852,0.005556,26,4,0,286628.21875,-562.8136200716846
26,710400,576000,0.566667,0.750000,0.485175,0.000000,26,3,0,284788.28125,-562.4802867383512
27,1171200,672000,0.000000,2.338095,0.248619,0.016667,26,8,0,270884.46875,-552.9564772145417
28,1171200,576000,0.000000,2.600000,0.480000,0.005556,26,5,0,299577.375,-577.3804403481822
29,1171200,672000,0.200000,2.400000,0.481283,0.005556,26,8,0,283600.3125,-572.0040962621607
