episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,aloss,closs,reward
1,940800,300000,0.512328,3.048557,0.445545,0.005556,25,0,0,0,0
2,1171200,300000,0.510313,3.012033,0.453401,0.000000,25,2,0,299599.28125,-547.3566308243727
3,710400,499200,0.458318,3.087686,0.482574,0.000000,25,3,0,310277.625,-556.8804403481822
4,710400,300000,0.530997,3.301065,0.482574,0.000000,25,0,0,301033.3125,-548.9887352790578
5,1171200,672000,0.461538,3.526973,0.474934,0.005556,26,8,0,288332.625,-537.8328213005632
6,1171200,300000,0.366240,3.423252,0.472441,0.000000,26,2,0,331694.15625,-577.3804403481822
7,1171200,672000,0.363636,3.060606,0.462725,0.000000,25,8,0,307429.09375,-556.547107014849
8,940800,499200,0.309524,3.266667,0.468750,0.000000,25,4,0,330705.375,-577.7137736815156
9,940800,300000,0.790441,3.549342,0.451128,0.000000,25,1,0,308464.96875,-558.5125448028673
10,1171200,499200,0.363636,3.616162,0.453401,0.000000,24,5,0,295436.90625,-547.3566308243727
11,940800,300000,0.000000,3.277778,0.460358,0.000000,24,1,0,317765.625,-568.3696876600102
12,1171200,300000,0.291209,3.429654,0.445545,0.005556,24,2,0,293977.75,-547.6899641577061
13,710400,499200,0.413229,3.433029,0.465116,0.000000,26,3,0,303843.0,-557.2137736815156
14,1171200,672000,0.396474,2.793695,0.358566,0.005556,25,8,0,293334.25,-548.6554019457245
15,940800,672000,0.421053,2.793061,0.472441,0.000000,26,7,0,324447.875,-577.7137736815156
16,940800,672000,0.366071,2.104485,0.443350,0.000000,26,7,0,312815.375,-567.8566308243727
17,1171200,672000,0.306306,1.953916,0.461538,0.000000,26,8,0,311558.625,-567.8566308243727
18,710400,672000,0.000000,2.633333,0.303541,0.050000,26,6,0,322019.8125,-577.3804403481822
19,940800,499200,0.352826,2.281808,0.419580,0.005556,25,4,0,299643.65625,-558.3328213005632
20,1171200,499200,0.000000,2.482143,0.144231,0.038889,26,5,0,297385.96875,-558.5125448028673
21,710400,300000,0.411780,2.919192,0.450000,0.000000,26,0,0,306495.21875,-567.7030209933436
22,1171200,300000,0.100000,3.617424,0.476190,0.000000,26,2,0,271961.75,-537.4994879672299
23,1171200,499200,0.272593,2.233102,0.469974,0.000000,25,5,0,289242.75,-556.547107014849
24,940800,300000,0.111111,3.434921,0.467532,0.005556,25,1,0,297580.625,-568.0363543266769
25,710400,672000,0.324324,2.012262,0.444444,0.000000,26,6,0,276897.25,-547.3566308243727
26,1171200,300000,0.339368,1.979129,0.466321,0.000000,26,2,0,282725.59375,-558.3328213005632
27,710400,672000,0.251167,3.073871,0.472441,0.000000,25,6,0,282622.75,-556.547107014849
28,940800,499200,0.344068,1.896966,0.465116,0.000000,26,4,0,282557.0625,-558.6661546338966
29,940800,300000,0.345794,2.519901,0.473684,0.011111,26,1,0,274508.34375,-558.179211469534
30,940800,300000,0.282751,3.063773,0.456853,0.011111,25,1,0,264959.65625,-547.0232974910394
31,1171200,499200,0.744444,3.686869,0.462725,0.000000,25,5,0,259448.96875,-547.3566308243727
32,710400,300000,0.322800,3.242721,0.456853,0.000000,24,0,0,274492.21875,-568.0363543266769
