episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,aloss,closs,reward
1,1171200,576000,0.244506,2.080732,0.434783,0.011111,26,0,0,0,0
2,1171200,576000,0.219611,2.087450,0.469974,0.005556,26,5,0,327188.6875,-572.0040962621607
3,710400,672000,0.276652,2.068585,0.467532,0.005556,26,6,0,327850.53125,-572.0040962621607
4,1171200,672000,0.284766,2.002714,0.453401,0.011111,25,8,0,311551.8125,-558.3328213005632
5,940800,576000,0.166667,2.678571,0.465116,0.016667,26,4,0,332656.25,-577.7137736815156
6,710400,672000,0.000000,2.298413,0.478723,0.005556,26,6,0,314492.78125,-562.4802867383512
7,1171200,576000,0.311927,1.934282,0.116279,0.033333,26,5,0,309029.125,-558.3328213005632
8,940800,672000,0.325635,1.926851,0.459184,0.005556,26,7,0,323749.46875,-572.0040962621607
9,710400,576000,0.312500,2.225719,0.473684,0.016667,25,0,0,318354.3125,-567.8566308243727
10,710400,672000,0.322185,2.020468,0.450000,0.011111,26,6,0,301296.125,-553.289810547875
11,940800,576000,0.260055,2.184575,0.433735,0.016667,26,4,0,305854.96875,-558.3328213005632
12,1171200,576000,0.253281,2.075461,0.447761,0.022222,26,2,0,309599.40625,-562.4802867383512
13,940800,576000,0.311441,2.164592,0.435835,0.022222,25,1,0,319213.6875,-572.0040962621607
14,1171200,576000,0.220731,2.128415,0.443350,0.016667,25,5,0,307911.71875,-562.8136200716846
15,1171200,672000,0.242135,2.021089,0.469974,0.005556,26,8,0,317290.375,-572.3374295954941
16,710400,672000,0.284961,1.919575,0.481283,0.005556,26,6,0,321705.34375,-577.3804403481822
17,710400,672000,0.312500,1.968280,0.406321,0.033333,26,6,0,299088.09375,-558.3328213005632
18,1171200,576000,0.400000,2.666667,0.320856,0.016667,26,5,0,297703.125,-558.3328213005632
19,940800,576000,0.332602,2.110452,0.472441,0.005556,26,1,0,311010.5,-572.0040962621607
20,1171200,576000,0.313832,2.103716,0.466321,0.005556,26,5,0,297402.0625,-562.4802867383512
21,1286400,1113600,0.281476,1.839918,0.424528,0.022222,26,3,0,306837.28125,-572.0040962621607
22,1286400,1382400,0.650662,1.645741,0.452261,0.016667,24,8,0,344250.625,-606.873527905786
23,1286400,1113600,0.554842,1.281713,0.462725,0.016667,10,6,0,360270.6875,-622.5939580133129
24,710400,672000,0.372188,1.417632,0.466321,0.011111,25,6,0,344763.21875,-612.2068612391192
25,940800,576000,0.425134,1.975197,0.448878,0.005556,26,4,0,283996.5625,-558.6661546338966
26,1171200,576000,0.302525,2.029586,0.461538,0.005556,26,2,0,285420.53125,-562.4802867383512
27,710400,672000,0.408237,2.145632,0.462725,0.011111,25,6,0,296066.4375,-572.0040962621607
28,1171200,672000,0.396789,1.785845,0.434783,0.005556,26,8,0,278658.40625,-558.6661546338966
