episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,loss,reward
1,1612800,576000,0.236504, 2.198184, 0.478723, 0.016667, 26,0, 0,0
2,940800,576000,0.200000, 3.500000, 0.495868, 0.005556, 26,1, 0,-590.258064516129
3,710400,1113600,0.333333, 2.666667, 0.487805, 0.005556, 26,32, 0,-562.4802867383512
4,1612800,1632000,0.000000, 0.900000, 0.448878, 0.011111, 26,60, 0,-583.0640040962621
5,710400,576000,0.000000, 2.000000, 0.489130, 0.000000, 26,0, 0,-649.3978494623656
6,2227200,1113600,0.000000, 1.166667, 0.428571, 0.000000, 26,39, 0,-552.9564772145417
7,710400,1305600,0.428571, 2.366667, 0.493151, 0.011111, 26,40, 0,-645.7624167946749
8,1401600,844800,0.250000, 1.600000, 0.450000, 0.000000, 25,27, 0,-593.8166922683051
9,1612800,576000,0.000000, 1.500000, 0.500000, 0.000000, 25,12, 0,-596.9150025601639
10,940800,1478400,0.000000, 1.483333, 0.345489, 0.005556, 25,49, 0,-590.5913978494623
11,2227200,576000,0.583333, 2.750000, 0.489130, 0.005556, 25,7, 0,-613.3512544802867
12,1171200,576000,0.650000, 3.250000, 0.489130, 0.000000, 25,2, 0,-615.9882232462877
13,1401600,672000,0.000000, 1.666667, 0.486486, 0.000000, 25,19, 0,-572.3374295954941
14,1401600,844800,0.333333, 1.916667, 0.486486, 0.000000, 25,27, 0,-587.2375832053251
15,710400,1113600,0.250000, 1.166667, 0.481283, 0.000000, 25,32, 0,-596.9150025601639
16,940800,1305600,0.000000, 1.500000, 0.456853, 0.000000, 25,41, 0,-583.3973374295955
17,1804800,1113600,0.916667, 2.916667, 0.476190, 0.000000, 25,37, 0,-603.673835125448
18,940800,844800,0.333333, 1.566667, 0.485175, 0.000000, 26,25, 0,-628.6354326676907
19,940800,844800,0.250000, 1.833333, 0.489130, 0.000000, 26,25, 0,-577.5340501792115
20,940800,576000,0.333333, 1.000000, 0.497238, 0.011111, 26,9, 0,-577.5340501792115
21,1612800,1113600,0.000000, 2.916667, 0.485175, 0.000000, 26,36, 0,-562.4802867383512
22,710400,844800,0.000000, 2.400000, 0.495868, 0.000000, 26,24, 0,-620.3655913978495
23,1171200,1632000,0.000000, 0.666667, 0.313043, 0.000000, 26,58, 0,-568.010240655402
24,710400,1305600,0.000000, 2.166667, 0.394737, 0.000000, 26,40, 0,-631.1438812083973
25,1401600,1113600,0.250000, 2.000000, 0.213018, 0.000000, 26,35, 0,-593.8166922683051
26,710400,1305600,0.000000, 3.300000, 0.420561, 0.000000, 26,40, 0,-611.6354326676907
27,940800,576000,0.400000, 3.750000, 0.476190, 0.005556, 26,9, 0,-593.8166922683051
28,940800,844800,0.333333, 2.166667, 0.410959, 0.016667, 25,25, 0,-562.4802867383512
29,2227200,576000,0.000000, 2.750000, 0.360000, 0.033333, 25,7, 0,-577.8673835125447
30,710400,1305600,0.250000, 2.600000, 0.485175, 0.005556, 25,40, 0,-615.9882232462877
31,1612800,576000,0.000000, 2.916667, 0.390456, 0.011111, 25,12, 0,-594.1500256016385
32,1804800,576000,0.000000, 3.083333, 0.161580, 0.005556, 25,5, 0,-590.5913978494623
33,1804800,1113600,0.250000, 2.683333, 0.472441, 0.005556, 26,37, 0,-598.5279057859702
34,1401600,1632000,0.000000, 1.250000, 0.481283, 0.000000, 26,59, 355844.59375,-628.3020993343573
35,1804800,576000,0.000000, 1.000000, 0.495868, 0.000000, 26,5, 355443.8125,-640.6676907322069
36,1171200,1632000,0.000000, 2.488095, 0.466321, 0.011111, 26,58, 355953.28125,-598.194572452637
37,1171200,672000,0.200000, 1.833333, 0.034443, 0.055556, 26,18, 358107.0625,-631.1438812083973
38,1612800,1632000,0.000000, 1.400000, 0.281250, 0.016667, 26,60, 355014.4375,-577.3804403481822
39,1804800,576000,0.000000, 2.366667, 0.494505, 0.005556, 26,5, 355319.5625,-649.3978494623656
40,1401600,576000,0.800000, 3.166667, 0.474934, 0.000000, 26,11, 360093.15625,-598.194572452637
41,1804800,844800,1.250000, 2.850000, 0.486486, 0.011111, 26,29, 354538.9375,-581.5279057859702
42,1804800,672000,0.000000, 1.666667, 0.495868, 0.011111, 26,21, 354769.1875,-613.2483358934971
43,2016000,1478400,0.250000, 1.900000, 0.460358, 0.000000, 26,54, 355385.09375,-603.5709165386585
44,1804800,576000,0.250000, 2.166667, 0.494505, 0.000000, 26,5, 359949.65625,-657.4623655913979
45,1804800,1478400,0.200000, 2.533333, 0.266272, 0.005556, 26,53, 359861.1875,-598.194572452637
46,1612800,844800,0.000000, 0.666667, 0.471204, 0.000000, 25,28, 361051.0625,-648.7322068612391
47,1401600,672000,0.250000, 1.900000, 0.468750, 0.000000, 25,19, 358026.3125,-605.6451612903226
48,940800,576000,0.250000, 1.066667, 0.500000, 0.011111, 25,9, 360948.6875,-587.2375832053251
49,1804800,672000,0.533333, 3.250000, 0.495868, 0.000000, 25,21, 357042.96875,-562.8136200716846
50,2227200,1305600,0.000000, 2.000000, 0.370370, 0.000000, 26,47, 358095.09375,-603.9042498719917
51,2016000,844800,0.916667, 1.433333, 0.481283, 0.000000, 26,30, 359757.9375,-656.5151049667179
52,2016000,1478400,0.250000, 0.733333, 0.444444, 0.000000, 26,54, 363415.46875,-621.9784946236559
53,1401600,1478400,0.200000, 1.804762, 0.389610, 0.000000, 26,51, 357942.4375,-657.4623655913979
54,940800,1113600,0.400000, 1.833333, 0.474934, 0.000000, 26,33, 353597.75,-632.0655401945725
55,1401600,1478400,1.000000, 1.583333, 0.489130, 0.000000, 26,51, 363757.8125,-592.5878136200716
56,940800,1632000,0.500000, 2.183333, 0.094987, 0.038889, 26,57, 358903.875,-632.0655401945725
57,1612800,1113600,0.000000, 2.966667, 0.481283, 0.000000, 26,36, 362291.5,-621.6200716845879
58,940800,1632000,0.500000, 1.333333, 0.424528, 0.000000, 26,57, 350440.59375,-620.3655913978495
59,1612800,844800,0.250000, 2.066667, 0.478723, 0.005556, 26,28, 360167.34375,-621.6200716845879
60,710400,576000,0.400000, 2.866667, 0.214031, 0.050000, 26,8, 358978.65625,-605.3118279569892
61,2016000,1113600,0.500000, 2.814286, 0.483871, 0.000000, 26,38, 352260.875,-552.9564772145417
62,1171200,1632000,1.000000, 1.233333, 0.357143, 0.016667, 26,58, 360866.96875,-637.0322580645161
63,1804800,576000,1.250000, 0.833333, 0.480000, 0.000000, 26,5, 364116.96875,-631.1438812083973
64,1612800,1305600,1.250000, 1.783333, 0.467532, 0.000000, 26,44, 360378.84375,-598.194572452637
65,1612800,1632000,1.000000, 2.250000, 0.500000, 0.005556, 26,60, 353033.75,-631.1182795698925
66,940800,672000,1.833333, 1.633333, 0.494505, 0.000000, 25,17, 357377.1875,-649.3978494623656
67,1401600,1632000,1.000000, 0.983333, 0.485175, 0.000000, 25,59, 356150.625,-568.1899641577061
68,710400,1113600,1.250000, 1.500000, 0.486486, 0.000000, 25,32, 355784.9375,-641.0010240655402
69,1171200,576000,1.000000, 2.333333, 0.487805, 0.000000, 25,2, 347631.90625,-583.3973374295955
70,710400,672000,1.083333, 3.216667, 0.419580, 0.038889, 25,16, 350347.65625,-572.3374295954941
71,2227200,1632000,1.000000, 0.750000, 0.442260, 0.005556, 25,63, 345800.5,-558.6661546338966
72,1171200,576000,1.000000, 1.833333, 0.474934, 0.011111, 25,10, 355688.0,-675.1280081925242
73,1171200,1305600,1.250000, 0.583333, 0.489130, 0.000000, 25,42, 340625.84375,-572.3374295954941
74,1804800,1632000,1.250000, 1.500000, 0.485175, 0.000000, 25,61, 351122.6875,-613.1976446492575
75,710400,1632000,1.333333, 1.166667, 0.306644, 0.011111, 26,56, 350738.6875,-657.6676907322069
76,710400,1478400,1.250000, 1.833333, 0.461538, 0.005556, 26,48, 354631.9375,-612.0962621607782
77,1171200,844800,1.500000, 1.750000, 0.481283, 0.000000, 26,26, 341391.21875,-603.4941116231439
78,1804800,576000,1.000000, 2.400000, 0.339623, 0.022222, 26,5, 343029.4375,-587.057859703021
79,1612800,844800,1.400000, 2.400000, 0.471204, 0.005556, 26,28, 340610.46875,-598.194572452637
80,940800,1113600,1.250000, 1.733333, 0.480000, 0.000000, 25,33, 335139.5,-605.3118279569892
81,1401600,576000,0.666667, 1.500000, 0.495868, 0.000000, 25,3, 335516.8125,-592.921146953405
82,1171200,1632000,0.750000, 2.066667, 0.482574, 0.005556, 25,58, 333345.6875,-581.8612391193036
83,2016000,1305600,0.583333, 1.333333, 0.485175, 0.000000, 25,46, 325662.6875,-631.4772145417306
84,940800,1305600,0.666667, 1.750000, 0.482574, 0.011111, 26,41, 332972.1875,-648.1182795698924
85,1171200,1478400,0.250000, 1.250000, 0.471204, 0.005556, 26,50, 325449.34375,-603.3405017921147
86,1171200,1478400,0.000000, 0.000000, 0.400891, 0.016667, 26,50, 327060.6875,-622.541730670763
87,710400,672000,0.000000, 2.433333, 0.151007, 0.016667, 26,16, 332727.03125,-622.541730670763
88,2227200,576000,0.250000, 3.083333, 0.500000, 0.005556, 26,15, 329082.125,-558.3328213005632
89,710400,1113600,0.000000, 2.050000, 0.495868, 0.000000, 26,32, 327977.0625,-615.6548899129544
90,2227200,576000,0.000000, 2.166667, 0.463918, 0.000000, 26,15, 319269.375,-583.0640040962621
91,2227200,576000,0.000000, 2.000000, 0.486486, 0.011111, 26,15, 313844.40625,-615.6548899129544
92,1612800,1305600,0.000000, 2.250000, 0.493151, 0.005556, 26,44, 313209.53125,-615.6548899129544
93,2227200,576000,1.000000, 2.666667, 0.472441, 0.016667, 26,15, 314087.09375,-631.1182795698925
94,1612800,1632000,0.250000, 0.733333, 0.474934, 0.011111, 26,60, 312125.875,-615.6548899129544
95,2016000,1632000,0.250000, 1.083333, 0.400000, 0.011111, 26,62, 307419.25,-649.3978494623656
96,2016000,1478400,0.333333, 2.000000, 0.495868, 0.005556, 26,54, 310462.9375,-666.0645161290322
97,940800,1632000,0.500000, 1.833333, 0.469974, 0.000000, 26,57, 313009.65625,-657.4623655913979
98,1171200,1113600,0.333333, 1.566667, 0.358566, 0.005556, 26,34, 315787.375,-621.6200716845879
99,2016000,844800,0.250000, 0.916667, 0.447761, 0.016667, 26,30, 303181.125,-602.1116231438812
100,2227200,1305600,0.000000, 0.500000, 0.472441, 0.011111, 26,47, 306377.71875,-621.9784946236559
101,940800,576000,0.250000, 2.583333, 0.500000, 0.000000, 26,1, 301267.3125,-656.5151049667179
102,2227200,1478400,0.000000, 1.833333, 0.456853, 0.011111, 26,55, 289886.125,-562.4802867383512
103,710400,844800,0.250000, 1.416667, 0.472441, 0.011111, 26,24, 296462.6875,-666.1925243215566
104,940800,1632000,0.200000, 1.333333, 0.227560, 0.016667, 26,57, 291376.75,-568.010240655402
105,1804800,844800,0.000000, 2.350000, 0.467532, 0.005556, 26,29, 284177.5625,-621.6200716845879
106,1401600,1478400,0.250000, 3.333333, 0.473684, 0.011111, 26,51, 297188.125,-613.2483358934971
107,710400,1478400,0.000000, 1.833333, 0.346154, 0.055556, 26,48, 293402.375,-632.0655401945725
108,2016000,576000,0.000000, 2.916667, 0.487805, 0.016667, 26,6, 282717.21875,-603.4941116231439
109,2227200,1113600,0.583333, 2.500000, 0.468750, 0.050000, 26,39, 280193.59375,-606.9247311827957
110,940800,672000,0.366667, 3.416667, 0.500000, 0.011111, 26,17, 278802.6875,-645.7624167946749
111,1612800,672000,0.400000, 2.750000, 0.500000, 0.005556, 26,20, 274044.5,-567.8566308243727
112,1612800,672000,0.250000, 1.750000, 0.469974, 0.011111, 26,20, 273463.3125,-595.6344086021505
113,710400,672000,0.333333, 1.000000, 0.500000, 0.005556, 26,16, 277703.6875,-595.6344086021505
114,2227200,672000,0.166667, 2.550000, 0.444444, 0.016667, 26,23, 257423.90625,-558.3328213005632
115,940800,844800,0.583333, 1.666667, 0.486486, 0.011111, 26,25, 258253.6875,-621.031233998976
116,2016000,672000,0.800000, 2.000000, 0.482574, 0.011111, 26,22, 267427.78125,-577.5340501792115
117,1612800,576000,0.000000, 2.433333, 0.495868, 0.016667, 26,4, 247250.1875,-612.3010752688172
118,940800,576000,0.250000, 1.666667, 0.500000, 0.016667, 26,9, 271356.71875,-590.258064516129
119,940800,1305600,0.250000, 2.166667, 0.466321, 0.011111, 26,41, 244570.15625,-562.4802867383512
120,1804800,576000,0.000000, 1.400000, 0.485175, 0.005556, 25,13, 258495.90625,-603.3405017921147
121,710400,1113600,1.000000, 2.000000, 0.468750, 0.005556, 25,32, 253076.9375,-598.5279057859702
122,940800,576000,1.500000, 2.350000, 0.469974, 0.005556, 25,1, 246521.703125,-583.3973374295955
123,1401600,576000,0.250000, 2.333333, 0.026987, 0.027778, 25,11, 248893.9375,-562.8136200716846
124,1804800,576000,0.333333, 3.000000, 0.489130, 0.005556, 25,13, 235679.65625,-581.8612391193036
125,1171200,844800,0.500000, 1.933333, 0.459184, 0.011111, 25,26, 229885.734375,-598.5279057859702
126,940800,672000,0.250000, 1.900000, 0.460358, 0.005556, 25,17, 227376.5,-587.3911930363543
127,710400,844800,0.750000, 1.766667, 0.493151, 0.011111, 25,24, 225987.109375,-568.1899641577061
128,2016000,1113600,0.000000, 1.833333, 0.474934, 0.061111, 25,38, 231353.890625,-568.3435739887352
129,940800,1632000,0.250000, 2.250000, 0.323160, 0.022222, 25,57, 203258.78125,-637.3655913978494
130,1171200,1113600,0.000000, 1.250000, 0.495868, 0.011111, 26,34, 219492.140625,-621.9534050179211
131,1171200,576000,0.250000, 2.200000, 0.485175, 0.005556, 26,10, 208851.484375,-602.1116231438812
132,2016000,1478400,0.200000, 1.750000, 0.471204, 0.016667, 26,54, 204543.1875,-572.0040962621607
133,1612800,1478400,0.200000, 1.900000, 0.442260, 0.011111, 26,52, 192589.71875,-657.4623655913979
134,940800,844800,0.000000, 1.100000, 0.493151, 0.016667, 26,25, 199493.234375,-640.7956989247311
135,1612800,1478400,0.200000, 1.300000, 0.500000, 0.011111, 26,52, 200671.0625,-577.5340501792115
136,2016000,1305600,0.200000, 2.083333, 0.458015, 0.011111, 26,46, 182482.796875,-640.7956989247311
137,940800,1113600,0.000000, 1.116667, 0.411899, 0.011111, 26,33, 188404.828125,-647.7849462365591
138,1612800,1478400,0.166667, 1.416667, 0.342857, 0.011111, 26,52, 208229.890625,-592.5878136200716
139,2016000,576000,0.000000, 2.500000, 0.485175, 0.011111, 26,14, 182936.703125,-640.7956989247311
140,1804800,1305600,0.533333, 1.633333, 0.466321, 0.005556, 26,45, 193685.71875,-606.9247311827957
141,2016000,576000,0.452381, 1.166667, 0.471204, 0.011111, 26,14, 186872.75,-639.0547875064004
142,1171200,1632000,0.400000, 1.350000, 0.327273, 0.005556, 26,58, 185336.984375,-606.9247311827957
143,1612800,1113600,0.200000, 1.633333, 0.474934, 0.011111, 25,36, 179902.1875,-631.1438812083973
144,2227200,576000,0.600000, 1.700000, 0.495868, 0.011111, 25,15, 167623.09375,-620.6989247311827
145,2227200,844800,1.028571, 2.380952, 0.250000, 0.050000, 25,31, 153815.8125,-615.9882232462877
146,710400,1113600,0.166667, 0.533333, 0.273973, 0.005556, 26,32, 166668.15625,-631.041986687148
147,1804800,844800,0.250000, 1.583333, 0.471204, 0.005556, 26,29, 142500.390625,-583.0640040962621
148,2227200,844800,0.000000, 2.000000, 0.500000, 0.005556, 26,31, 149081.640625,-613.2483358934971
149,2227200,576000,0.200000, 2.666667, 0.482574, 0.016667, 26,7, 156615.9375,-630.7086533538146
150,2227200,844800,0.333333, 2.476190, 0.471204, 0.011111, 26,31, 149393.703125,-615.6548899129544
151,940800,576000,0.200000, 1.250000, 0.485175, 0.000000, 26,1, 163055.84375,-630.7086533538146
152,1171200,576000,0.200000, 2.666667, 0.495868, 0.005556, 26,2, 142390.5625,-562.4802867383512
153,1804800,1478400,0.142857, 2.476984, 0.432692, 0.016667, 26,53, 168258.8125,-572.0040962621607
154,1171200,1632000,0.400000, 1.400000, 0.341556, 0.044444, 26,58, 142594.953125,-648.7322068612391
155,940800,672000,0.366667, 1.366667, 0.485175, 0.011111, 26,17, 148089.734375,-631.1438812083973
156,1401600,576000,0.285714, 2.780952, 0.486486, 0.005556, 26,11, 100946.3203125,-567.8566308243727
157,1401600,1305600,0.200000, 2.266667, 0.441176, 0.011111, 26,43, 108894.34375,-581.5279057859702
158,1401600,1305600,0.250000, 1.533333, 0.333333, 0.000000, 26,43, 112762.984375,-622.3881208397337
159,2227200,576000,0.200000, 1.983333, 0.472441, 0.011111, 26,7, 125161.453125,-622.3881208397337
160,1401600,844800,0.000000, 2.457143, 0.473684, 0.005556, 26,27, 101869.78125,-615.6548899129544
161,1401600,1632000,0.200000, 1.550000, 0.328467, 0.005556, 26,59, 115529.6484375,-596.5816692268305
162,1612800,1305600,0.250000, 1.333333, 0.490463, 0.011111, 26,44, 101926.03125,-640.6676907322069
163,1612800,1632000,0.250000, 2.083333, 0.468750, 0.005556, 26,60, 85174.0234375,-631.1182795698925
164,1401600,1305600,0.000000, 2.916667, 0.473684, 0.022222, 26,43, 93480.8828125,-649.3978494623656
165,940800,1478400,0.500000, 2.416667, 0.500000, 0.005556, 26,49, 107313.4609375,-622.3881208397337
166,1401600,1305600,1.500000, 1.833333, 0.392157, 0.016667, 26,43, 89214.46875,-613.0179211469534
167,2016000,1632000,0.583333, 1.183333, 0.478723, 0.000000, 26,62, 88566.0390625,-622.3881208397337
168,1401600,1632000,0.000000, 2.000000, 0.463918, 0.011111, 26,59, 85121.859375,-666.0645161290322
169,1612800,1305600,0.250000, 1.666667, 0.490463, 0.005556, 26,44, 82800.6640625,-640.6676907322069
170,2016000,576000,0.250000, 0.583333, 0.437956, 0.005556, 26,6, 80147.2265625,-631.1182795698925
171,1401600,1305600,0.250000, 1.666667, 0.411899, 0.011111, 26,43, 78441.140625,-606.9247311827957
172,2227200,1305600,0.666667, 1.933333, 0.324324, 0.011111, 26,47, 72704.1171875,-622.3881208397337
173,710400,1478400,0.733333, 2.300000, 0.489130, 0.011111, 26,48, 76058.7109375,-656.5151049667179
174,2016000,672000,0.250000, 1.500000, 0.465116, 0.011111, 26,22, 71898.8515625,-603.4941116231439
175,940800,576000,0.650000, 1.666667, 0.485175, 0.016667, 26,1, 60915.83984375,-612.3010752688172
176,1401600,1478400,0.250000, 1.250000, 0.404494, 0.005556, 26,51, 73773.46875,-562.4802867383512
177,940800,1478400,0.200000, 1.550000, 0.197152, 0.011111, 26,49, 66664.65625,-632.0655401945725
178,710400,576000,0.200000, 2.400000, 0.465116, 0.011111, 26,8, 68814.4921875,-613.0179211469534
179,1401600,1305600,0.000000, 2.777778, 0.483871, 0.016667, 26,43, 71431.671875,-552.9564772145417
180,1401600,576000,0.200000, 2.950000, 0.458015, 0.005556, 25,11, 80558.328125,-622.3881208397337
181,1401600,1305600,0.200000, 2.300000, 0.476190, 0.011111, 25,43, 63521.83984375,-581.8612391193036
182,1401600,1305600,0.000000, 2.300000, 0.391304, 0.011111, 25,43, 33503.53515625,-622.7214541730671
183,1171200,1478400,0.000000, 1.000000, 0.335196, 0.011111, 26,50, 41555.70703125,-622.7214541730671
