episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,loss,reward
1,710400,844800,0.783765, 3.622779, 0.497238, 0.000000, 22,0, 0,0.5939554583523761
2,710400,1632000,0.750000, 3.800000, 0.273141, 0.011111, 22,56, 0,0.520097248225193
3,1612800,1632000,0.771429, 3.433333, 0.487805, 0.016667, 25,60, 0,0.38462086830105136
4,1401600,1478400,0.833333, 3.350000, 0.480000, 0.005556, 25,51, 0,0.49979144366418116
5,1612800,1305600,0.400000, 3.014286, 0.494505, 0.000000, 25,44, 0,0.42375226526956156
6,710400,1113600,0.200000, 3.666667, 0.204082, 0.016667, 25,32, 0,0.6764122915321331
7,1401600,1113600,0.535714, 3.600000, 0.495868, 0.000000, 25,35, 0,0.5360661135016923
8,1612800,1632000,0.971429, 3.347619, 0.466321, 0.005556, 28,60, 0,0.48462086830105133
9,1171200,1478400,0.250000, 3.600000, 0.462725, 0.005556, 28,50, 0,0.6709344701278281
10,1804800,672000,1.000000, 3.273810, 0.495868, 0.000000, 28,21, 0,0.4494632866634503
11,1804800,1113600,0.600000, 3.833333, 0.597973, 0.000000, 28,37, 0,0.42424215878492444
12,1612800,499200,0.619048, 3.547619, 0.495868, 0.000000, 28,12, 0,0.5713699361769686
13,1804800,672000,0.944444, 3.571429, 0.588040, 0.000000, 28,23, 0,0.4494632866634503
14,940800,1478400,0.863636, 3.655245, 0.458015, 0.011111, 28,49, 0,0.7153806408122112
15,1612800,1113600,2.033333, 3.633333, 0.476190, 0.000000, 28,36, 0,0.5409359116079915
16,1401600,1478400,1.900000, 3.666667, 0.482574, 0.005556, 28,51, 0,0.5997914436641811
17,710400,1478400,2.200000, 3.266667, 0.485175, 0.000000, 27,48, 0,0.7068042883612886
18,1804800,499200,2.000000, 3.066667, 0.471204, 0.000000, 27,15, 0,0.4213428500205683
19,1804800,844800,2.121212, 3.709091, 0.485175, 0.000000, 27,29, 0,0.4084519922718341
20,1804800,844800,1.300000, 3.800000, 0.495868, 0.000000, 27,31, 0,0.4084519922718341
21,1401600,844800,1.066667, 3.833333, 0.498615, 0.005556, 27,27, 0,0.620275946988602
22,1804800,499200,0.696970, 3.575758, 0.439024, 0.005556, 29,14, 0,0.48800951668723497
23,940800,499200,0.400000, 4.000000, 0.054414, 0.011111, 29,9, 0,0.8154226685520329
24,710400,1632000,0.554545, 3.564336, 0.597973, 0.000000, 29,56, 0,0.7534305815585264
25,1401600,1478400,0.500000, 3.416667, 0.485175, 0.000000, 26,51, 0,0.5331247769975145
26,1171200,1478400,0.828571, 3.666667, 0.480000, 0.000000, 26,50, 0,0.6042678034611615
27,710400,1632000,0.416667, 3.380952, 0.414747, 0.011111, 26,56, 0,0.6534305815585264
28,1401600,499200,1.309524, 3.107143, 0.597973, 0.000000, 26,11, 0,0.5998334714040028
29,1171200,300000,0.142857, 3.565201, 0.480000, 0.005556, 27,2, 0,0.7077120521735295
