episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,loss,reward
1,710400,844800,0.269964, 3.456477, 0.452261, 0.005556, 20,0, 0,0.5272887916857094
2,1171200,1632000,0.125000, 3.193182, 0.500000, 0.000000, 20,58, 0,0.3842274299917326
3,940800,1305600,0.111111, 3.657143, 0.472441, 0.005556, 20,41, 0,0.46780499764462585
4,710400,1113600,0.333333, 3.118182, 0.467532, 0.000000, 19,32, 0,0.47641229153213305
5,710400,576000,0.439560, 3.696886, 0.459184, 0.016667, 19,8, 0,0.5048129792732884
6,1612800,576000,0.111111, 3.470960, 0.208575, 0.005556, 19,12, 0,0.2693365993491467
7,710400,844800,0.533333, 3.409091, 0.494505, 0.000000, 19,24, 0,0.4939554583523761
8,1171200,1632000,0.472222, 3.210317, 0.319716, 0.005556, 23,58, 0,0.4842274299917327
9,1171200,576000,0.250000, 3.305051, 0.500000, 0.000000, 23,10, 0,0.5689431610398281
10,1171200,1478400,0.381818, 3.552778, 0.422535, 0.000000, 23,50, 0,0.5042678034611615
11,1401600,672000,0.200000, 3.475000, 0.482574, 0.000000, 21,19, 0,0.4279539080468848
12,2016000,672000,0.111111, 3.391162, 0.481283, 0.005556, 21,22, 0,0.04848711763150415
13,1401600,1478400,0.333333, 3.454365, 0.386266, 0.000000, 21,51, 0,0.36645811033084774
14,1612800,1478400,0.285714, 3.081349, 0.486486, 0.005556, 21,52, 0,0.2713279084371468
15,1401600,1478400,0.111111, 3.103896, 0.437956, 0.000000, 21,51, 0,0.36645811033084774
16,1171200,576000,0.347222, 3.857143, 0.487805, 0.000000, 21,10, 0,0.5022764943731614
17,1171200,576000,0.111111, 3.634921, 0.432692, 0.022222, 21,2, 0,0.5022764943731614
18,2227200,844800,0.153846, 3.188312, 0.478723, 0.005556, 21,31, 0,-0.17461052062522575
19,940800,1113600,0.000000, 3.555556, 0.486486, 0.011111, 21,33, 0,0.518321977316389
20,1612800,1632000,0.111111, 3.693182, 0.337079, 0.005556, 21,60, 0,0.25128753496771794
21,2016000,1113600,0.000000, 3.162626, 0.181452, 0.061111, 22,38, 0,0.05659932308631155
22,1804800,1305600,0.200000, 3.333333, 0.459184, 0.005556, 22,45, 0,0.20705851244649442
23,1612800,1632000,0.361111, 3.477778, 0.375000, 0.022222, 22,60, 0,0.28462086830105127
24,1401600,1632000,0.111111, 3.208333, 0.241287, 0.027778, 23,59, 0,0.4130844035280856
25,1171200,1632000,0.125000, 3.033730, 0.471204, 0.000000, 23,58, 0,0.4842274299917327
26,2227200,672000,0.200000, 3.522222, 0.469974, 0.000000, 23,23, 0,-0.1002658929002761
27,1612800,576000,0.300000, 3.527273, 0.471204, 0.000000, 23,4, 0,0.40266993268248014
28,2227200,1478400,0.250000, 3.714286, 0.375783, 0.022222, 27,55, 0,-0.028428357282979877
29,710400,576000,0.200000, 3.102778, 0.448878, 0.005556, 27,8, 0,0.7714796459399551
30,710400,1305600,0.583333, 3.514286, 0.476190, 0.000000, 27,40, 0,0.7258953118603699
31,2227200,844800,0.142857, 3.800000, 0.458015, 0.005556, 27,31, 0,0.025389479374774315
32,710400,844800,0.174242, 3.314141, 0.474934, 0.000000, 26,24, 0,0.7272887916857095
33,2016000,1113600,0.111111, 3.275000, 0.430622, 0.005556, 26,38, 0,0.18993265641964496
34,1171200,672000,0.250000, 3.373810, 0.483871, 0.000000, 26,18, 0.766096293926239,0.6657636011771986
35,1401600,844800,0.000000, 3.330556, 0.465116, 0.011111, 26,27, 0.6032010912895203,0.5869426136552687
