big_cpu_freq,little_cpu_freq,fps,mem,little_util,big_util,ipc,cache_miss
710400,1036800,60,4076536,2.448985,0.633344,0.454545,0.000000
710400,1036800,60,4076660,1.598211,0.266667,0.467532,0.000000
710400,1785600,60,4077092,1.333894,0.333333,0.360721,0.000000
710400,1036800,60,4076828,1.761494,0.427451,0.480000,0.000000
710400,1036800,60,4077200,1.500000,0.607143,0.444444,0.000000
710400,1036800,60,4077156,1.369608,0.527778,0.482574,0.000000
710400,1113600,60,4077124,1.595098,0.320833,0.489130,0.000000
710400,1036800,60,4077076,1.285176,0.153846,0.339623,0.000000
710400,1036800,60,4076744,1.413927,0.371041,0.322004,0.000000
710400,1785600,60,4076896,1.537908,0.264423,0.420561,0.000000
710400,1785600,60,4075444,1.545098,0.400000,0.460358,0.000000
710400,1785600,60,4075080,1.600619,0.544118,0.451128,0.005556
710400,1113600,60,4074980,1.496053,0.687500,0.493151,0.000000
710400,1785600,60,4075336,1.516026,0.678431,0.493151,0.000000
710400,1036800,60,4075016,1.323214,0.535714,0.465116,0.000000
710400,1113600,60,4074504,1.833333,0.730769,0.493151,0.000000
710400,1785600,60,4074380,1.705556,0.647059,0.375000,0.000000
710400,1555200,60,4074364,1.535539,0.564103,0.477454,0.000000
710400,1785600,60,4074760,1.761905,0.583333,0.493151,0.000000
710400,1113600,60,4074404,1.144522,0.606061,0.238095,0.050000
710400,1036800,60,4075564,1.380952,0.445055,0.443350,0.000000
710400,1113600,60,4074652,1.310709,0.598214,0.487805,0.000000
710400,1785600,60,4074716,1.233862,0.686275,0.493151,0.000000
710400,1036800,60,4074108,1.533333,0.684615,0.317460,0.000000
710400,1036800,60,4074632,1.493269,0.645833,0.466321,0.000000
710400,1036800,60,4073436,1.566667,0.777778,0.458015,0.000000
710400,1036800,60,4074608,1.280921,0.674603,0.468750,0.000000
710400,1036800,60,4074636,1.555769,0.557143,0.437956,0.000000
710400,1785600,60,4073876,1.501552,0.500000,0.466321,0.000000
710400,1036800,60,4073728,1.408497,0.501961,0.476190,0.005556
710400,1113600,60,4073008,1.746078,0.752941,0.493151,0.000000
710400,1785600,60,4073224,1.170513,0.384615,0.471204,0.000000
710400,1785600,60,4072512,1.446550,0.480769,0.381356,0.000000
710400,1036800,60,4072944,1.260714,0.598291,0.458015,0.000000
710400,1036800,60,4073192,1.460268,0.655556,0.493151,0.000000
710400,1036800,60,4073424,1.306624,0.593407,0.482574,0.000000
710400,1785600,60,4072380,1.761905,0.538462,0.235911,0.000000
710400,1036800,60,4072668,1.235294,0.627451,0.501393,0.005556
710400,1036800,60,4073216,1.326740,0.552381,0.490463,0.000000
710400,1036800,60,4072736,1.496268,0.396104,0.482574,0.000000
1401600,1036800,60,4070512,1.365441,1.129412,0.504202,0.000000
710400,1036800,60,4071084,1.079167,0.770833,0.461538,0.000000
710400,1209600,60,4070432,1.655556,0.743421,0.434783,0.000000
710400,1036800,60,4070992,1.522188,0.773994,0.480000,0.000000
710400,1036800,60,4070988,1.252778,0.495798,0.478723,0.000000
710400,1036800,60,4070136,1.509241,0.665441,0.448878,0.005556
710400,1036800,60,4070384,1.460470,0.583710,0.456853,0.005556
710400,1113600,60,4070276,1.497410,0.737557,0.482574,0.000000
710400,1036800,60,4069724,1.285391,0.651786,0.493151,0.000000
710400,1036800,60,4070812,1.329832,0.690476,0.149254,0.027778
710400,1785600,60,4069592,1.555672,0.575000,0.469974,0.000000
710400,1036800,60,4069312,1.670775,0.697115,0.493151,0.000000
710400,1036800,60,4068644,1.577915,0.400000,0.468750,0.000000
710400,1036800,60,4069180,1.128205,0.733333,0.340265,0.033333
710400,1036800,60,4069072,1.230556,0.593407,0.329670,0.011111
825600,1785600,60,4068956,2.362745,0.732143,0.477454,0.000000
710400,1209600,60,4068504,1.179691,0.833333,0.490463,0.000000
710400,1036800,60,4068116,1.419118,0.701754,0.411899,0.000000
710400,1036800,60,4068600,1.476190,0.605769,0.467532,0.000000
710400,1113600,60,4068352,1.203903,0.768908,0.490463,0.000000
710400,1785600,60,4068288,1.429330,0.560784,0.440098,0.000000
710400,1785600,60,4067188,1.550000,0.800000,0.493151,0.000000
710400,1785600,60,4066636,1.524265,0.625000,0.486486,0.000000
710400,1113600,60,4066884,1.445906,0.645833,0.216606,0.000000
710400,1036800,60,4067596,1.351461,0.705882,0.502793,0.000000
710400,1036800,60,4067408,1.518908,0.777778,0.493151,0.000000
710400,1036800,60,4066664,1.712500,0.535714,0.460358,0.000000
710400,1036800,60,4066384,1.271073,0.600000,0.329068,0.011111
710400,1036800,60,4065984,1.297103,0.731618,0.465116,0.000000
710400,1036800,60,4066168,1.423810,0.614286,0.448878,0.000000
710400,1036800,60,4066540,1.490196,0.737557,0.486486,0.005556
710400,1036800,60,4066508,1.341667,0.450549,0.454545,0.005556
710400,1036800,60,4066952,1.358193,0.746032,0.482574,0.000000
