episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,loss,reward
1,710400,1036800,0.581326, 1.474482, 0.493151, 0.000000, 60,0, 0,0.848834437941018
2,710400,1036800,0.250000, 1.783333, 0.466321, 0.000000, 60,25, 0,0.848834437941018
3,710400,1478400,0.400000, 2.004762, 0.480000, 0.000000, 60,57, 0,0.8068042883612885
4,710400,1036800,0.803571, 1.245238, 0.493151, 0.000000, 60,19, 0,0.848834437941018
5,710400,1036800,0.750000, 1.483333, 0.338983, 0.044444, 60,31, 0,0.848834437941018
6,825600,1785600,0.619048, 2.619048, 0.352250, 0.000000, 60,6, 0,0.7533488310188725
7,710400,1555200,0.833333, 1.666667, 0.371901, 0.000000, 60,38, 0,0.7971555274427198
8,2419200,1478400,0.728431, 1.201434, 0.493151, 0.000000, 60,3, 0,-0.17170599430945566
9,1286400,1036800,0.200000, 0.842857, 0.480000, 0.000000, 60,28, 0,0.7478579456012331
10,710400,1036800,0.500000, 1.100000, 0.465116, 0.000000, 60,35, 0,0.848834437941018
11,710400,1785600,0.200000, 2.089286, 0.493151, 0.000000, 60,41, 0,0.7636797974196674
12,710400,1036800,0.600000, 1.066667, 0.480000, 0.000000, 59,36, 0,0.848834437941018
13,710400,1036800,0.250000, 0.250000, 0.458015, 0.000000, 59,0, 0,0.848834437941018
14,710400,1036800,0.850000, 2.800000, 0.352250, 0.000000, 59,41, 0,0.848834437941018
15,710400,1785600,0.533333, 2.404762, 0.323741, 0.000000, 59,29, 0,0.7636797974196674
16,710400,1036800,0.619048, 1.690476, 0.466321, 0.000000, 58,3, 0,0.848834437941018
17,710400,1036800,0.333333, 1.233333, 0.493151, 0.000000, 58,42, 0,0.848834437941018
18,710400,1785600,0.400000, 1.888095, 0.489130, 0.005556, 58,38, 0,0.7636797974196674
19,710400,1478400,0.800000, 1.633333, 0.490463, 0.000000, 58,28, 0,0.8068042883612885
20,710400,1036800,0.333333, 1.250000, 0.482574, 0.000000, 58,16, 0,0.848834437941018
21,710400,1036800,0.200000, 1.316667, 0.451128, 0.000000, 58,16, 0,0.848834437941018
22,710400,1478400,0.450000, 2.171429, 0.493151, 0.000000, 58,5, 0,0.8068042883612885
23,710400,1785600,0.733333, 2.404762, 0.381356, 0.000000, 58,19, 0,0.7636797974196674
24,825600,1036800,0.450000, 1.233333, 0.504202, 0.000000, 58,28, 0,0.8385034715402231
25,710400,1036800,0.533333, 1.152381, 0.460358, 0.000000, 58,36, 0,0.848834437941018
26,710400,1785600,0.250000, 1.700000, 0.491803, 0.005556, 58,30, 0,0.7636797974196674
27,710400,1785600,0.000000, 1.733333, 0.480000, 0.000000, 58,14, 0,0.7636797974196674
28,825600,1036800,0.733333, 1.358333, 0.252101, 0.000000, 58,18, 0,0.8385034715402231
29,710400,1036800,0.200000, 1.050000, 0.286169, 0.000000, 58,54, 0,0.848834437941018
30,710400,1708800,0.533333, 1.550000, 0.419580, 0.000000, 58,39, 0,0.7756112608564198
31,710400,1785600,0.000000, 1.400000, 0.482574, 0.000000, 60,16, 0,0.7636797974196674
32,710400,1036800,0.333333, 0.666667, 0.493151, 0.000000, 60,34, 0,0.848834437941018
33,710400,1036800,0.166667, 1.233333, 0.501393, 0.005556, 60,29, 0,0.848834437941018
34,710400,1785600,0.366667, 2.480952, 0.477454, 0.000000, 60,38, 1.247056484222412,0.7636797974196674
35,710400,1785600,0.400000, 1.700000, 0.493151, 0.000000, 60,33, 1.0143259763717651,0.7636797974196674
36,710400,1036800,0.600000, 1.400000, 0.482574, 0.000000, 60,3, 0.8577181100845337,0.848834437941018
37,710400,1036800,0.250000, 1.211905, 0.156114, 0.077778, 60,10, 0.6504276394844055,0.848834437941018
38,710400,1036800,0.250000, 2.250000, 0.466321, 0.000000, 60,47, 0.565729022026062,0.848834437941018
39,710400,1478400,0.000000, 1.500000, 0.329068, 0.000000, 60,42, 0.4874516725540161,0.8068042883612885
40,710400,1036800,0.200000, 1.211905, 0.075853, 0.044444, 60,39, 0.3407132923603058,0.848834437941018
41,710400,1036800,0.333333, 0.583333, 0.493151, 0.000000, 60,44, 0.25301507115364075,0.848834437941018
42,710400,1036800,0.485714, 2.100000, 0.493151, 0.000000, 60,56, 0.25322359800338745,0.848834437941018
43,710400,1785600,0.200000, 1.783333, 0.277778, 0.022222, 60,2, 0.243604838848114,0.7636797974196674
44,710400,1036800,0.485714, 1.221429, 0.486486, 0.000000, 60,47, 0.20801250636577606,0.848834437941018
45,710400,1036800,0.450000, 0.750000, 0.504202, 0.000000, 60,41, 0.24085314571857452,0.848834437941018
46,710400,1036800,0.000000, 1.233333, 0.491803, 0.000000, 60,61, 0.2205318659543991,0.848834437941018
47,710400,1209600,0.333333, 2.183333, 0.501393, 0.005556, 60,39, 0.30091267824172974,0.8349986880014587
48,710400,1036800,0.533333, 1.250000, 0.482574, 0.000000, 60,41, 0.1898375004529953,0.848834437941018
49,710400,1036800,0.666667, 1.428571, 0.240642, 0.000000, 60,33, 0.17068608105182648,0.848834437941018
50,710400,1305600,0.285714, 2.100000, 0.482574, 0.000000, 60,41, 0.18932002782821655,0.8258953118603698
51,710400,1209600,0.583333, 2.166667, 0.272727, 0.016667, 60,6, 0.14792004227638245,0.8349986880014587
52,710400,1036800,0.000000, 1.523810, 0.467532, 0.000000, 60,31, 0.10940639674663544,0.848834437941018
53,710400,1036800,0.000000, 1.150000, 0.480000, 0.000000, 60,34, 0.08292479813098907,0.848834437941018
54,710400,1036800,0.285714, 2.128571, 0.467532, 0.000000, 60,8, 0.05693934112787247,0.848834437941018
55,710400,1785600,0.800000, 2.933333, 0.365112, 0.000000, 60,10, 0.09880910068750381,0.7636797974196674
56,710400,1036800,0.285714, 1.119048, 0.504202, 0.000000, 60,57, 0.03657441958785057,0.848834437941018
57,710400,1036800,0.600000, 1.100000, 0.502793, 0.000000, 60,53, 0.08596810698509216,0.848834437941018
58,710400,1785600,0.500000, 2.571429, 0.374220, 0.000000, 60,8, 0.13193845748901367,0.7636797974196674
59,710400,1305600,0.533333, 1.723810, 0.190275, 0.005556, 60,56, 0.1271044760942459,0.8258953118603698
60,710400,1036800,0.333333, 1.241667, 0.501393, 0.000000, 60,15, 0.06013581156730652,0.848834437941018
61,710400,1785600,0.500000, 1.494048, 0.435835, 0.000000, 60,19, 0.1557166874408722,0.7636797974196674
62,710400,1036800,0.142857, 1.152381, 0.504202, 0.000000, 60,56, 0.10145862400531769,0.848834437941018
63,710400,1036800,0.400000, 1.375000, 0.478723, 0.000000, 60,56, 0.07321518659591675,0.848834437941018
64,710400,1785600,0.309524, 1.696429, 0.324324, 0.000000, 60,45, 0.09649829566478729,0.7636797974196674
65,710400,1036800,0.267857, 0.816017, 0.491803, 0.000000, 60,51, 0.11607539653778076,0.848834437941018
66,710400,1036800,0.432749, 1.385824, 0.493151, 0.000000, 60,49, 0.042417965829372406,0.848834437941018
67,710400,1785600,0.125000, 1.619048, 0.361446, 0.000000, 60,10, 0.07540681213140488,0.7636797974196674
68,710400,1785600,0.666667, 2.257143, 0.036239, 0.005556, 60,50, 0.10579793155193329,0.7636797974196674
69,710400,1036800,0.000000, 1.482143, 0.490463, 0.000000, 60,39, 0.028164444491267204,0.848834437941018
70,710400,1785600,0.416667, 1.826984, 0.491803, 0.000000, 60,47, 0.051786672323942184,0.7636797974196674
71,940800,1305600,0.541667, 1.409524, 0.504202, 0.000000, 60,11, 0.03998557850718498,0.8011383309779592
72,710400,1036800,0.309524, 1.531746, 0.493151, 0.000000, 60,55, 0.07021970301866531,0.848834437941018
73,710400,1785600,0.309524, 1.714286, 0.348162, 0.000000, 60,43, 0.05965312197804451,0.7636797974196674
74,710400,1036800,0.392857, 1.003571, 0.477454, 0.000000, 60,32, 0.09333526343107224,0.848834437941018
75,710400,1036800,0.428571, 1.110714, 0.480000, 0.000000, 60,5, 0.18997570872306824,0.848834437941018
76,710400,1209600,0.333333, 2.421429, 0.379747, 0.000000, 60,40, 0.2142173796892166,0.8349986880014587
77,710400,1785600,0.309524, 1.119048, 0.459184, 0.000000, 60,34, 0.14692437648773193,0.7636797974196674
78,710400,1036800,0.392857, 1.404762, 0.500000, 0.000000, 60,8, 0.1245400607585907,0.848834437941018
79,710400,1785600,0.485714, 1.904762, 0.410959, 0.000000, 60,15, 0.027940189465880394,0.7636797974196674
80,710400,1036800,0.366667, 1.250000, 0.504202, 0.000000, 60,1, 0.08501964807510376,0.848834437941018
81,710400,1036800,0.250000, 1.483333, 0.504202, 0.000000, 60,27, 0.051316697150468826,0.848834437941018
82,710400,1785600,0.541667, 2.222222, 0.434783, 0.000000, 60,47, 0.06666915118694305,0.7636797974196674
83,710400,1478400,0.200000, 2.453571, 0.482574, 0.000000, 60,63, 0.14540278911590576,0.8068042883612885
84,710400,1113600,0.533333, 1.560714, 0.357853, 0.005556, 60,41, 0.09107034653425217,0.8430789581987997
85,710400,1036800,0.800000, 1.400000, 0.480000, 0.000000, 60,40, 0.05859491229057312,0.848834437941018
86,710400,1382400,0.650000, 1.871429, 0.411899, 0.000000, 60,49, 0.059069402515888214,0.8178490525736161
87,710400,1113600,0.900000, 1.333333, 0.493151, 0.000000, 60,63, 0.1151340901851654,0.8430789581987997
88,710400,1036800,0.400000, 1.066667, 0.471204, 0.000000, 60,19, 0.10402096807956696,0.848834437941018
89,710400,1785600,0.450000, 2.261905, 0.588040, 0.000000, 60,50, 0.05830088630318642,0.7636797974196674
90,710400,1785600,0.928571, 1.869048, 0.467532, 0.000000, 60,54, 0.06100183725357056,0.7636797974196674
91,710400,1036800,0.900000, 1.033333, 0.467532, 0.000000, 60,16, 0.02573448419570923,0.848834437941018
92,710400,1036800,0.166667, 1.400000, 0.482574, 0.000000, 60,41, 0.04342373460531235,0.848834437941018
93,710400,1785600,0.200000, 1.766667, 0.491803, 0.000000, 60,4, 0.018130341544747353,0.7636797974196674
94,710400,1036800,0.761905, 1.295238, 0.482574, 0.000000, 60,49, 0.02630041539669037,0.848834437941018
95,710400,1036800,0.333333, 1.116667, 0.478723, 0.000000, 60,49, 0.029813606292009354,0.848834437941018
96,710400,1036800,0.500000, 2.200000, 0.493151, 0.000000, 60,16, 0.008941387757658958,0.848834437941018
97,710400,1036800,0.452381, 1.200000, 0.478723, 0.000000, 60,40, 0.019063394516706467,0.848834437941018
98,710400,1036800,0.583333, 0.733333, 0.482574, 0.000000, 60,54, 0.04706199839711189,0.848834437941018
99,710400,1785600,0.533333, 1.400000, 0.493151, 0.000000, 60,60, 0.007035631220787764,0.7636797974196674
100,710400,1036800,0.200000, 1.300000, 0.490463, 0.005556, 60,40, 0.10429268330335617,0.848834437941018
101,710400,1036800,0.583333, 0.750000, 0.469974, 0.000000, 60,46, 0.10508012771606445,0.848834437941018
102,710400,1036800,0.600000, 1.800000, 0.482574, 0.000000, 60,22, 0.022301627323031425,0.848834437941018
103,710400,1785600,0.900000, 2.500000, 0.472441, 0.000000, 60,53, 0.02588217705488205,0.7636797974196674
104,710400,1036800,0.600000, 0.966667, 0.490463, 0.000000, 60,43, 0.07528413087129593,0.848834437941018
105,710400,1036800,0.400000, 1.128571, 0.332717, 0.000000, 60,39, 0.09326473623514175,0.848834437941018
106,710400,1785600,0.333333, 1.767857, 0.455696, 0.000000, 60,1, 0.10354303568601608,0.7636797974196674
107,710400,1036800,0.660714, 0.964286, 0.456853, 0.005556, 60,49, 0.034401245415210724,0.848834437941018
108,710400,1036800,0.428571, 1.571429, 0.504202, 0.000000, 60,58, 0.07423222810029984,0.848834437941018
109,710400,1305600,0.575000, 1.471429, 0.504202, 0.000000, 60,47, 0.04131729155778885,0.8258953118603698
