episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,loss,reward
1,710400,1036800,0.591194, 1.438451, 0.081154, 0.005556, 60,0, 0,0.848834437941018
2,710400,1036800,0.750000, 2.450000, 0.493151, 0.000000, 60,24, 0,0.848834437941018
3,710400,1382400,0.000000, 2.416667, 0.468750, 0.000000, 60,20, 0,0.8178490525736161
4,710400,1036800,0.333333, 2.000000, 0.493151, 0.000000, 60,16, 0,0.848834437941018
5,710400,1036800,0.250000, 1.400000, 0.468750, 0.000000, 60,24, 0,0.848834437941018
6,710400,1036800,0.500000, 1.583333, 0.493151, 0.000000, 60,28, 0,0.848834437941018
7,710400,1036800,0.000000, 1.850000, 0.433735, 0.005556, 60,13, 0,0.848834437941018
8,710400,1113600,0.400000, 2.883333, 0.493151, 0.000000, 60,62, 0,0.8430789581987997
9,710400,1036800,0.000000, 1.666667, 0.493151, 0.000000, 60,62, 0,0.848834437941018
10,710400,1036800,0.000000, 1.000000, 0.448878, 0.000000, 60,60, 0,0.848834437941018
11,710400,1036800,0.250000, 1.083333, 0.482574, 0.000000, 60,27, 0,0.848834437941018
12,710400,1036800,0.500000, 2.000000, 0.456853, 0.000000, 60,53, 0,0.848834437941018
13,710400,1209600,0.666667, 2.500000, 0.450000, 0.005556, 60,1, 0,0.8349986880014587
14,710400,1209600,0.250000, 1.500000, 0.452261, 0.000000, 60,49, 0,0.8349986880014587
15,710400,1305600,0.833333, 2.466667, 0.493151, 0.000000, 60,4, 0,0.8258953118603698
16,710400,1036800,0.250000, 0.833333, 0.478723, 0.000000, 60,24, 0,0.848834437941018
17,710400,1036800,0.333333, 1.416667, 0.448878, 0.000000, 60,41, 0,0.848834437941018
18,710400,1305600,0.650000, 2.416667, 0.459184, 0.000000, 60,19, 0,0.8258953118603698
19,710400,1036800,0.250000, 1.083333, 0.490463, 0.005556, 60,6, 0,0.848834437941018
20,710400,1036800,0.000000, 1.700000, 0.482574, 0.000000, 60,63, 0,0.848834437941018
21,710400,1036800,0.500000, 1.416667, 0.481283, 0.000000, 60,12, 0,0.848834437941018
22,710400,1036800,0.483333, 1.465214, 0.504202, 0.000000, 60,8, 0,0.848834437941018
23,710400,1036800,0.666667, 2.250000, 0.480000, 0.000000, 60,8, 0,0.848834437941018
24,710400,1113600,0.650000, 2.333333, 0.480000, 0.000000, 60,27, 0,0.8430789581987997
25,710400,1036800,0.900000, 1.466667, 0.493151, 0.000000, 60,60, 0,0.848834437941018
26,710400,1036800,0.583333, 1.233333, 0.482574, 0.000000, 60,0, 0,0.848834437941018
27,710400,1036800,0.250000, 1.000000, 0.416667, 0.000000, 60,29, 0,0.848834437941018
28,710400,1113600,0.583333, 1.166667, 0.466321, 0.000000, 60,17, 0,0.8430789581987997
29,710400,1113600,0.500000, 1.400000, 0.466321, 0.000000, 60,8, 0,0.8430789581987997
30,710400,1036800,0.000000, 0.666667, 0.467532, 0.000000, 60,50, 0,0.848834437941018
31,710400,1036800,0.250000, 0.000000, 0.490463, 0.000000, 60,54, 0,0.848834437941018
32,710400,1036800,0.500000, 1.000000, 0.467532, 0.000000, 60,0, 0,0.848834437941018
33,710400,1785600,0.583333, 1.500000, 0.469974, 0.000000, 60,59, 0,0.7636797974196674
34,710400,1036800,0.392857, 0.535714, 0.482574, 0.000000, 60,32, 0.08781696856021881,0.848834437941018
35,710400,1785600,0.166667, 2.050000, 0.480000, 0.000000, 60,1, 0.04911692067980766,0.7636797974196674
36,710400,1036800,0.166667, 0.933333, 0.493151, 0.000000, 60,2, 0.026109319180250168,0.848834437941018
37,1286400,1036800,0.000000, 0.950000, 0.501393, 0.005556, 60,40, 0.027175243943929672,0.7478579456012331
38,710400,1036800,0.200000, 2.571429, 0.478723, 0.000000, 60,51, 0.01953699439764023,0.848834437941018
39,710400,1036800,0.400000, 1.350000, 0.454545, 0.000000, 60,28, 0.011931391432881355,0.848834437941018
