episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,loss,reward
1,710400,1632000,0.642404, 1.937565, 0.467532, 0.005556, 60,0, 0,0.7867639148918597
2,710400,672000,0.583333, 0.850000, 0.482574, 0.000000, 60,16, 0,0.8683000860773256
3,710400,499200,0.833333, 2.000000, 0.504202, 0.000000, 60,8, 0,0.873512982767777
4,710400,300000,0.400000, 3.100000, 0.482574, 0.000000, 60,0, 0,0.8769152037403232
5,710400,300000,1.000000, 3.583333, 0.204313, 0.055556, 60,0, 0,0.8769152037403232
6,710400,300000,0.750000, 3.565476, 0.502793, 0.000000, 60,0, 0,0.8769152037403232
7,710400,300000,0.678571, 3.350000, 0.477454, 0.000000, 60,0, 0,0.8769152037403232
8,710400,300000,0.500000, 3.244444, 0.468750, 0.000000, 60,0, 0,0.8769152037403232
9,710400,300000,0.854545, 3.577778, 0.482574, 0.000000, 60,0, 0,0.8769152037403232
10,710400,300000,0.628571, 3.800000, 0.487805, 0.000000, 60,0, 0,0.8769152037403232
11,710400,300000,0.708333, 3.547619, 0.441176, 0.000000, 60,0, 0,0.8769152037403232
12,710400,300000,0.533333, 3.750000, 0.472441, 0.000000, 60,0, 0,0.8769152037403232
13,710400,300000,0.333333, 3.750000, 0.493151, 0.000000, 60,0, 0,0.8769152037403232
14,710400,300000,0.900000, 3.238095, 0.071344, 0.044444, 60,0, 0,0.8769152037403232
15,710400,300000,0.761905, 3.402778, 0.429594, 0.000000, 57,0, 0,0.8769152037403232
16,710400,300000,0.366667, 3.050000, 0.478723, 0.000000, 57,0, 0,0.8769152037403232
17,710400,300000,0.685714, 3.541667, 0.490463, 0.000000, 57,0, 0,0.8769152037403232
18,710400,300000,0.619048, 3.500000, 0.490463, 0.005556, 57,0, 0,0.8769152037403232
19,710400,300000,1.025000, 2.883333, 0.362173, 0.016667, 56,0, 0,0.8769152037403232
20,710400,300000,0.450000, 3.300000, 0.447761, 0.000000, 56,0, 0,0.8769152037403232
21,710400,300000,0.500000, 2.383333, 0.482574, 0.000000, 56,0, 0,0.8769152037403232
22,710400,300000,0.833333, 3.400253, 0.472441, 0.000000, 56,0, 0,0.8769152037403232
23,710400,300000,0.666667, 3.734848, 0.462725, 0.005556, 56,0, 0,0.8769152037403232
24,710400,300000,1.229167, 3.525321, 0.459184, 0.000000, 57,0, 0,0.8769152037403232
25,710400,300000,0.904762, 3.375000, 0.482574, 0.000000, 57,0, 0,0.8769152037403232
26,710400,300000,0.585714, 3.750000, 0.480000, 0.005556, 57,0, 0,0.8769152037403232
27,710400,300000,0.761905, 3.690476, 0.478723, 0.000000, 57,0, 0,0.8769152037403232
28,710400,300000,0.900000, 3.000000, 0.482574, 0.000000, 57,0, 0,0.8769152037403232
29,710400,300000,0.900000, 3.571429, 0.486486, 0.000000, 57,0, 0,0.8769152037403232
30,710400,300000,0.785714, 3.666667, 0.504202, 0.000000, 59,0, 0,0.8769152037403232
31,710400,300000,1.000000, 3.250000, 0.480000, 0.000000, 59,0, 0,0.8769152037403232
32,710400,300000,0.650000, 2.371429, 0.482574, 0.000000, 59,0, 0,0.8769152037403232
33,710400,300000,0.761905, 3.857143, 0.459184, 0.000000, 59,0, 0,0.8769152037403232
34,710400,300000,0.666667, 3.452778, 0.472441, 0.000000, 59,0, 0.0017173252999782562,0.8769152037403232
35,710400,300000,0.619048, 3.000000, 0.477454, 0.000000, 59,0, 0.04931822419166565,0.8769152037403232
36,710400,300000,0.841270, 3.371429, 0.452261, 0.000000, 60,0, 0.0039331852458417416,0.8769152037403232
