episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,loss,reward
1,710400,1036800,0.573183, 1.515535, 0.280811, 0.000000, 59,0, 0,0.848834437941018
2,710400,1785600,0.583333, 1.748016, 0.280374, 0.011111, 59,16, 0,0.7636797974196674
3,710400,1209600,0.533333, 1.500000, 0.450000, 0.000000, 59,8, 0,0.8349986880014587
4,710400,1036800,0.971429, 0.733333, 0.458015, 0.000000, 59,8, 0,0.848834437941018
5,710400,1036800,0.583333, 1.750000, 0.460358, 0.000000, 59,8, 0,0.848834437941018
6,710400,1785600,0.650000, 2.680952, 0.458015, 0.000000, 59,17, 0,0.7636797974196674
7,710400,1785600,0.733333, 2.300000, 0.493151, 0.000000, 59,8, 0,0.7636797974196674
8,710400,1036800,0.500000, 1.100000, 0.468750, 0.000000, 59,0, 0,0.848834437941018
9,710400,1036800,0.250000, 0.900000, 0.491803, 0.000000, 59,0, 0,0.848834437941018
10,710400,1785600,0.500000, 2.571429, 0.480000, 0.000000, 59,8, 0,0.7636797974196674
11,710400,1785600,0.583333, 1.600000, 0.163191, 0.000000, 59,8, 0,0.7636797974196674
12,710400,1785600,0.650000, 1.250000, 0.478723, 0.000000, 60,0, 0,0.7636797974196674
13,710400,1036800,0.833333, 1.600000, 0.482574, 0.000000, 60,8, 0,0.848834437941018
14,710400,1036800,0.666667, 1.166667, 0.456853, 0.000000, 60,8, 0,0.848834437941018
15,710400,1036800,0.533333, 1.888095, 0.258250, 0.005556, 60,8, 0,0.848834437941018
16,710400,1785600,0.000000, 1.666667, 0.493151, 0.000000, 60,8, 0,0.7636797974196674
17,710400,1785600,0.650000, 1.266667, 0.493151, 0.000000, 60,8, 0,0.7636797974196674
18,710400,1036800,0.628571, 0.783333, 0.467532, 0.000000, 60,8, 0,0.848834437941018
19,710400,1036800,0.650000, 1.900000, 0.411899, 0.000000, 60,8, 0,0.848834437941018
20,825600,1632000,0.666667, 2.250000, 0.469974, 0.000000, 60,0, 0,0.7764329484910648
21,710400,1209600,0.583333, 2.095238, 0.476190, 0.000000, 60,8, 0,0.8349986880014587
22,710400,1036800,0.500000, 1.404762, 0.441176, 0.000000, 60,0, 0,0.848834437941018
23,710400,1036800,0.000000, 1.533333, 0.454545, 0.000000, 60,0, 0,0.848834437941018
24,2419200,1785600,0.761905, 2.483333, 0.490463, 0.000000, 60,8, 0,-0.21483048525107673
25,940800,1036800,0.200000, 0.971429, 0.406321, 0.000000, 60,8, 0,0.8240774570586074
26,710400,1036800,0.666667, 1.611111, 0.220318, 0.005556, 60,8, 0,0.848834437941018
27,710400,1785600,0.533333, 2.600000, 0.476190, 0.000000, 60,8, 0,0.7636797974196674
28,710400,1785600,0.628571, 1.533333, 0.407240, 0.000000, 60,8, 0,0.7636797974196674
29,710400,1036800,0.750000, 1.233333, 0.297030, 0.000000, 60,0, 0,0.848834437941018
30,710400,1036800,0.600000, 1.745238, 0.491803, 0.000000, 60,8, 0,0.848834437941018
31,710400,1305600,0.628571, 1.250000, 0.466321, 0.000000, 60,8, 0,0.8258953118603698
32,710400,1209600,0.250000, 1.600000, 0.469974, 0.000000, 60,8, 0,0.8349986880014587
33,710400,1036800,0.333333, 0.685714, 0.480000, 0.000000, 60,8, 0,0.848834437941018
34,710400,1036800,0.366667, 1.728571, 0.456853, 0.005556, 60,8, 0,0.848834437941018
35,710400,1785600,0.600000, 2.244444, 0.489130, 0.000000, 60,0, 0,0.7636797974196674
36,1612800,1382400,1.500000, 1.850000, 0.476190, 0.000000, 60,8, 0,0.5823726726494745
37,710400,1036800,0.583333, 0.900000, 0.477454, 0.005556, 60,0, 0,0.848834437941018
38,710400,1036800,0.828571, 1.900000, 0.493151, 0.000000, 60,17, 0,0.848834437941018
39,1056000,1785600,0.450000, 2.480952, 0.480000, 0.000000, 60,0, 0,0.7195846492743201
40,710400,1036800,0.583333, 1.183333, 0.463918, 0.000000, 58,8, 0,0.848834437941018
41,710400,1036800,0.833333, 1.085714, 0.490463, 0.000000, 58,0, 0,0.848834437941018
42,710400,1036800,0.500000, 1.828571, 0.493151, 0.000000, 58,8, 0,0.848834437941018
43,710400,1785600,0.450000, 1.800000, 0.493151, 0.000000, 58,0, 0,0.7636797974196674
44,710400,1036800,0.250000, 1.416667, 0.493151, 0.000000, 59,8, 0,0.848834437941018
45,710400,1036800,0.166667, 1.916667, 0.490463, 0.000000, 59,8, 0,0.848834437941018
46,1612800,1785600,0.450000, 3.180952, 0.195228, 0.000000, 59,8, 0,0.5282034174955257
47,710400,1785600,0.366667, 2.050000, 0.458015, 0.000000, 59,8, 0,0.7636797974196674
48,710400,1036800,0.666667, 0.983333, 0.451128, 0.005556, 59,0, 0,0.848834437941018
49,710400,1036800,0.400000, 0.900000, 0.480000, 0.000000, 59,8, 0,0.848834437941018
50,710400,1382400,0.333333, 2.285714, 0.408163, 0.000000, 59,0, 0,0.8178490525736161
51,710400,1305600,0.000000, 1.850000, 0.465116, 0.000000, 59,0, 0,0.8258953118603698
52,710400,1708800,0.450000, 1.416667, 0.266272, 0.000000, 59,0, 0,0.7756112608564198
53,1497600,1036800,0.450000, 1.628571, 0.493151, 0.000000, 59,8, 0,0.6691825221460671
54,710400,1036800,0.200000, 1.133333, 0.444444, 0.000000, 59,8, 0,0.848834437941018
55,710400,1785600,0.200000, 2.150000, 0.493151, 0.000000, 59,8, 0,0.7636797974196674
56,710400,1785600,0.200000, 1.833333, 0.467532, 0.000000, 59,8, 0,0.7636797974196674
57,710400,1036800,0.166667, 1.444048, 0.472441, 0.000000, 59,0, 0,0.848834437941018
58,710400,1036800,0.250000, 1.928571, 0.472441, 0.000000, 59,8, 0,0.848834437941018
59,710400,1785600,0.200000, 2.033333, 0.482574, 0.000000, 59,8, 0,0.7636797974196674
60,710400,1036800,0.533333, 1.411905, 0.480000, 0.005556, 59,8, 0,0.848834437941018
61,710400,1036800,0.533333, 1.200000, 0.213018, 0.000000, 60,8, 0,0.848834437941018
62,710400,1036800,0.685714, 1.452381, 0.477454, 0.000000, 60,8, 0,0.848834437941018
63,710400,1478400,0.333333, 1.700000, 0.333952, 0.000000, 60,8, 0,0.8068042883612885
64,710400,1785600,0.200000, 1.750000, 0.480000, 0.000000, 60,8, 0,0.7636797974196674
65,710400,1785600,0.761905, 2.042857, 0.486486, 0.000000, 60,8, 0,0.7636797974196674
66,710400,1113600,0.333333, 1.928571, 0.493151, 0.000000, 60,8, 0,0.8430789581987997
67,710400,1036800,0.650000, 2.100000, 0.476190, 0.000000, 60,8, 0,0.848834437941018
68,710400,1305600,0.366667, 1.604762, 0.359281, 0.000000, 60,8, 0,0.8258953118603698
69,710400,1036800,0.500000, 1.433333, 0.466321, 0.000000, 60,0, 0,0.848834437941018
70,710400,1785600,0.200000, 2.028571, 0.502793, 0.000000, 60,8, 0,0.7636797974196674
71,710400,1478400,0.000000, 1.633333, 0.416667, 0.005556, 60,8, 0,0.8068042883612885
72,710400,1036800,0.366667, 1.761905, 0.467532, 0.000000, 60,8, 0,0.848834437941018
73,710400,1036800,0.000000, 0.700000, 0.388769, 0.000000, 60,8, 0,0.848834437941018
74,710400,1036800,0.200000, 1.750000, 0.400000, 0.005556, 60,8, 0,0.848834437941018
