big_cpu_freq,little_cpu_freq,fps,mem,little_util,big_util,ipc,cache_miss
710400,1036800,60,4146428,1.625369,0.473676,0.458015,0.000000
710400,1036800,60,4145688,1.371000,0.400000,0.415704,0.000000
710400,1036800,60,4145552,1.792982,0.285714,0.478723,0.000000
710400,1036800,60,4146080,1.635633,0.312500,0.495868,0.000000
710400,1036800,60,4145432,1.525412,0.485714,0.332717,0.000000
710400,1036800,60,4144312,1.556944,0.626050,0.477454,0.000000
710400,1036800,60,4144432,1.264835,0.312500,0.478723,0.000000
2419200,1036800,60,4144832,1.376495,0.450658,0.486486,0.000000
2419200,1036800,60,4145252,1.067011,1.200000,0.482574,0.000000
710400,1382400,60,4144384,1.634398,0.285714,0.456853,0.000000
710400,1555200,60,4144556,1.367033,0.368627,0.252809,0.000000
710400,1632000,60,4144384,1.360714,0.333333,0.471204,0.000000
710400,1209600,60,4143712,1.442017,0.266667,0.375783,0.000000
710400,1036800,60,4144292,1.714928,0.329167,0.458015,0.000000
710400,1036800,60,4144728,1.888545,0.451389,0.443350,0.000000
710400,1036800,60,4143548,1.416667,0.522727,0.417633,0.000000
710400,1036800,60,4143744,1.345932,0.285714,0.485175,0.000000
710400,1036800,60,4143756,1.362393,0.266667,0.482574,0.000000
1056000,1785600,60,4143960,1.401282,0.562500,0.455696,0.000000
710400,1785600,60,4143688,1.035256,0.271493,0.500000,0.000000
710400,1036800,60,4142884,1.380235,0.277778,0.410959,0.000000
2419200,1209600,60,4143032,1.338764,1.277778,0.482574,0.000000
710400,1785600,60,4142844,1.401207,0.564103,0.362173,0.000000
710400,1785600,60,4141384,1.479762,0.352941,0.330882,0.000000
710400,1785600,60,4141724,1.269331,0.339286,0.326679,0.000000
710400,1785600,60,4142188,1.576155,0.266667,0.486486,0.000000
710400,1785600,60,4141848,1.627042,0.555556,0.203390,0.000000
710400,1785600,60,4142312,1.410539,0.419118,0.489130,0.000000
710400,1036800,60,4141740,1.446487,0.305556,0.454545,0.000000
710400,1785600,60,4141308,1.576625,0.214286,0.486486,0.000000
710400,1036800,60,4142660,1.442227,0.415441,0.489130,0.000000
710400,1036800,60,4142572,1.527976,0.230769,0.486486,0.000000
710400,1036800,60,4141984,1.460073,0.466667,0.227560,0.000000
2419200,1036800,60,4141104,1.368067,0.733333,0.390456,0.000000
1804800,1036800,60,4141908,1.152778,0.965278,0.498615,0.000000
710400,1036800,60,4141536,1.359615,0.379167,0.378947,0.000000
710400,1036800,60,4141380,1.255128,0.285714,0.446650,0.000000
710400,1036800,60,4141628,1.770317,0.214286,0.462725,0.000000
710400,1036800,60,4141300,1.844444,0.411765,0.476190,0.000000
710400,1036800,60,4141632,1.505057,0.444118,0.453401,0.000000
710400,1209600,60,4141540,1.508974,0.230769,0.365854,0.000000
710400,1785600,60,4141548,1.698810,0.266667,0.183861,0.000000
710400,1785600,60,4140604,1.255952,0.368421,0.478723,0.000000
710400,1785600,60,4140484,1.265033,0.411765,0.466321,0.000000
710400,1785600,60,4139880,0.927448,0.200000,0.469974,0.000000
710400,1305600,60,4140448,1.147894,0.383333,0.463918,0.000000
2419200,1036800,60,4140244,1.195192,0.941667,0.489130,0.000000
710400,1036800,60,4140212,1.358953,0.743697,0.439024,0.000000
710400,1036800,60,4139624,1.386264,0.200000,0.453401,0.000000
710400,1036800,60,4139064,1.942194,0.377193,0.340265,0.000000
710400,1036800,60,4139504,1.670833,0.400000,0.500000,0.000000
710400,1036800,60,4139344,1.626282,0.285714,0.476190,0.000000
710400,1036800,60,4139068,1.531868,0.333333,0.455696,0.000000
710400,1785600,60,4138320,1.418803,0.363636,0.460358,0.000000
710400,1785600,60,4138068,1.274359,0.348416,0.473684,0.000000
710400,1785600,60,4138452,1.279762,0.352941,0.489130,0.000000
710400,1036800,60,4138284,1.232143,0.312500,0.368098,0.000000
710400,1036800,60,4138696,1.483333,0.200000,0.348837,0.033333
710400,1036800,60,4139148,1.401786,0.411765,0.476190,0.000000
2419200,1036800,60,4138960,1.452206,1.231618,0.485175,0.000000
710400,1036800,60,4138340,1.079167,0.476190,0.451128,0.000000
710400,1036800,60,4137656,1.816527,0.214286,0.467532,0.000000
710400,1036800,60,4138464,1.589542,0.352941,0.366599,0.000000
710400,1036800,60,4138088,1.341071,0.273109,0.439024,0.000000
710400,1036800,60,4138148,1.428571,0.467949,0.485175,0.000000
710400,1036800,60,4137808,1.444928,0.405229,0.183861,0.011111
2419200,1036800,60,4136964,1.502941,1.027864,0.458015,0.000000
710400,1382400,60,4136484,1.394293,0.391667,0.485175,0.000000
710400,1036800,60,4136696,1.117216,0.338095,0.486486,0.000000
710400,1036800,60,4137384,1.661310,0.450000,0.436893,0.000000
710400,1305600,60,4136728,1.501401,0.348214,0.253165,0.000000
2419200,1785600,60,4137344,1.352790,0.669118,0.327869,0.000000
2419200,1209600,60,4136184,1.113324,1.204167,0.482574,0.000000
710400,1785600,60,4135464,1.600721,0.293269,0.444444,0.000000
710400,1785600,60,4135000,1.487119,0.294118,0.478723,0.000000
710400,1305600,60,4134860,1.299484,0.500000,0.495868,0.000000
710400,1036800,60,4135244,1.319658,0.509804,0.478723,0.000000
710400,1036800,60,4136236,1.564052,0.317647,0.500000,0.000000
710400,1036800,60,4135648,1.261905,0.462185,0.478723,0.005556
710400,1036800,60,4135244,1.428571,0.437500,0.262774,0.000000
710400,1305600,60,4135168,1.917949,0.356618,0.321429,0.000000
710400,1785600,60,4134920,1.376263,0.634615,0.468750,0.000000
710400,1478400,60,4135060,1.324405,0.266667,0.489130,0.000000
710400,1036800,60,4134160,1.395833,0.461111,0.478723,0.000000
2419200,1305600,60,4135648,1.668129,0.887500,0.462725,0.000000
710400,1555200,60,4134676,1.774338,0.764706,0.489130,0.000000
710400,1113600,60,4135728,1.709524,0.368421,0.462725,0.000000
710400,1209600,60,4135416,1.542857,0.352941,0.473684,0.005556
710400,1113600,60,4134856,1.252101,0.398693,0.472441,0.000000
710400,1036800,60,4134608,1.339103,0.320833,0.441176,0.000000
710400,1036800,60,4135108,1.602206,0.266667,0.485175,0.000000
710400,1036800,60,4135200,1.440476,0.356618,0.385439,0.005556
710400,1036800,60,4135076,1.385714,0.285714,0.486486,0.000000
710400,1036800,60,4134432,1.282051,0.271429,0.474934,0.000000
710400,1036800,60,4134804,1.411765,0.312500,0.461538,0.000000
710400,1036800,60,4135300,1.299877,0.376471,0.476190,0.000000
710400,1036800,60,4134452,1.786520,0.466667,0.476190,0.000000
2419200,1785600,60,4134176,1.607692,1.230769,0.401786,0.000000
710400,1785600,60,4132748,1.687500,0.809524,0.486486,0.000000
710400,1785600,60,4132548,1.311688,0.333333,0.466321,0.000000
710400,1113600,60,4131840,1.397328,0.610784,0.473684,0.000000
710400,1036800,60,4132664,1.392810,0.375000,0.478723,0.000000
710400,1036800,60,4132836,1.484524,0.266667,0.380550,0.000000
710400,1036800,60,4132196,1.358395,0.529412,0.410959,0.000000
710400,1036800,60,4131388,1.650000,0.388889,0.362173,0.000000
710400,1036800,60,4131884,1.311275,0.352941,0.485175,0.000000
710400,1036800,60,4131360,1.556944,0.214286,0.456853,0.000000
710400,1036800,60,4130864,1.219913,0.312500,0.454545,0.000000
710400,1036800,60,4131608,1.346908,0.474265,0.451128,0.000000
2419200,1036800,60,4130912,2.000000,0.383929,0.421546,0.000000
2419200,1036800,60,4131408,1.141176,1.222222,0.489130,0.000000
710400,1036800,60,4131052,1.371429,0.333333,0.451128,0.000000
710400,1036800,60,4131860,1.471230,0.266667,0.482574,0.000000
710400,1555200,60,4130936,1.360606,0.416667,0.476190,0.000000
710400,1036800,60,4130948,1.153846,0.277778,0.485175,0.000000
710400,1382400,60,4130616,1.349359,0.276786,0.489130,0.000000
710400,1382400,60,4131080,0.916667,0.312500,0.472441,0.000000
710400,1036800,60,4130180,0.862393,0.357895,0.473684,0.000000
710400,1555200,60,4129696,1.045192,0.329167,0.392157,0.000000
710400,1785600,60,4129104,1.499677,0.331933,0.283465,0.000000
710400,1785600,60,4128264,1.431548,0.458333,0.460358,0.000000
710400,1785600,60,4127432,1.666667,0.352381,0.407240,0.000000
2419200,1036800,60,4128000,1.604060,0.400000,0.442260,0.000000
2419200,1036800,60,4128748,1.021008,1.312500,0.448878,0.000000
710400,1036800,60,4128492,1.316484,0.588235,0.336449,0.000000
710400,1036800,60,4129088,1.176740,0.214286,0.463918,0.000000
710400,1036800,60,4128784,1.394994,0.230769,0.448878,0.000000
710400,1036800,60,4128852,1.552941,0.562500,0.489130,0.000000
710400,1209600,60,4127612,1.265568,0.352941,0.471204,0.000000
710400,1036800,60,4127612,1.176216,0.439560,0.125874,0.005556
710400,1036800,60,4127968,1.490418,0.200000,0.489130,0.000000
710400,1036800,60,4128060,1.482143,0.348214,0.434783,0.000000
710400,1785600,60,4127508,1.386555,0.430147,0.472441,0.005556
710400,1785600,60,4126972,1.819608,0.560784,0.489130,0.000000
710400,1785600,60,4126572,1.403770,0.200000,0.277778,0.005556
2419200,1785600,60,4126208,1.314846,0.466667,0.431655,0.000000
2419200,1209600,60,4126688,1.165611,1.235294,0.297521,0.000000
710400,1036800,60,4126800,1.081227,0.235294,0.485175,0.000000
710400,1785600,60,4126892,1.539041,0.200000,0.452261,0.000000
710400,1113600,60,4126804,1.231793,0.333333,0.489130,0.000000
1286400,1036800,60,4126688,1.548043,0.433333,0.481283,0.000000
710400,1036800,60,4125476,2.016667,0.348485,0.474934,0.000000
710400,1036800,60,4126380,1.272436,0.250000,0.486486,0.000000
710400,1036800,60,4125756,1.264881,0.266667,0.489130,0.000000
710400,1036800,60,4125820,1.726310,0.348214,0.463918,0.000000
710400,1113600,60,4125140,1.937745,0.379167,0.478723,0.000000
710400,1113600,60,4124644,1.231618,0.214286,0.489130,0.000000
1920000,1036800,60,4124396,1.662782,0.748252,0.465116,0.000000
2419200,1036800,60,4124248,1.014286,0.566667,0.412844,0.000000
2419200,1036800,60,4124172,1.198775,1.012605,0.474934,0.000000
710400,1036800,60,4124292,1.473214,0.255556,0.339623,0.000000
710400,1036800,60,4123940,1.166667,0.391667,0.476190,0.000000
710400,1036800,60,4123816,1.349817,0.544444,0.161290,0.005556
710400,1036800,60,4124468,1.680952,0.375000,0.458015,0.000000
1056000,1036800,60,4123684,1.507617,0.508333,0.437956,0.000000
710400,1036800,60,4123536,1.553791,0.220513,0.462725,0.000000
710400,1785600,60,4122924,1.756548,0.367647,0.476190,0.000000
710400,1036800,60,4122880,1.758088,0.437500,0.454545,0.000000
710400,1036800,60,4123408,1.223901,0.352941,0.129683,0.005556
710400,1036800,60,4123876,1.732143,0.214286,0.483871,0.000000
710400,1036800,60,4123780,1.254121,0.352941,0.401786,0.000000
2419200,1036800,60,4124340,1.222844,0.987500,0.474934,0.000000
1056000,1036800,60,4123516,1.182234,0.928571,0.495868,0.000000
710400,1036800,60,4123296,1.486555,0.329167,0.431655,0.000000
710400,1036800,60,4124184,1.520600,0.312500,0.485175,0.000000
710400,1036800,60,4123436,1.322964,0.483553,0.463918,0.000000
710400,1478400,60,4121960,0.866733,0.214286,0.478723,0.038889
710400,1305600,60,4121956,1.702629,0.214286,0.459184,0.000000
710400,1036800,60,4121400,1.902941,0.562500,0.424528,0.005556
710400,1209600,60,4121476,1.615278,0.375000,0.465116,0.000000
710400,1036800,60,4122112,1.471429,0.266667,0.222772,0.000000
710400,1036800,60,4121864,1.472222,0.266667,0.232558,0.038889
710400,1785600,60,4121536,1.106618,0.405556,0.485175,0.000000
710400,1209600,60,4121904,1.455357,0.375000,0.465116,0.000000
2419200,1036800,60,4121556,0.976190,1.200000,0.489130,0.000000
710400,1036800,60,4121944,1.250000,0.454167,0.410959,0.000000
710400,1036800,60,4122252,1.085852,0.250000,0.478723,0.000000
710400,1036800,60,4121404,1.222366,0.200000,0.454545,0.000000
710400,1036800,60,4122240,1.246795,0.209524,0.466321,0.000000
710400,1036800,60,4122072,1.365748,0.266667,0.463918,0.000000
710400,1036800,60,4121936,1.839928,0.500000,0.440098,0.000000
710400,1036800,60,4122036,1.691176,0.441667,0.483871,0.000000
710400,1113600,60,4121008,1.657832,0.214286,0.482574,0.000000
710400,1785600,60,4121612,1.422619,0.312500,0.500000,0.000000
710400,1113600,60,4121040,1.435574,0.368421,0.444444,0.000000
710400,1036800,60,4121172,1.611538,0.384615,0.038693,0.044444
710400,1036800,60,4121220,1.330357,0.352381,0.478723,0.000000
2419200,1036800,60,4121000,1.547619,1.243421,0.481283,0.000000
710400,1036800,60,4120500,1.202930,0.741071,0.485175,0.000000
710400,1036800,60,4119912,1.119734,0.519608,0.466321,0.000000
710400,1036800,60,4120124,1.560372,0.242647,0.459184,0.000000
710400,1036800,60,4121184,1.354386,0.350000,0.478723,0.000000
710400,1036800,60,4121160,1.826156,0.415441,0.462725,0.000000
710400,1036800,60,4120540,1.811765,0.454167,0.462725,0.000000
710400,1036800,60,4120536,1.452381,0.230769,0.495868,0.000000
710400,1036800,60,4119792,1.432108,0.333333,0.495868,0.000000
710400,1209600,60,4119856,1.651907,0.575000,0.458015,0.000000
710400,1785600,60,4119348,1.565476,0.437500,0.456853,0.000000
710400,1209600,60,4119336,1.182143,0.266667,0.478723,0.000000
2419200,1036800,60,4119700,1.545098,0.687500,0.469974,0.000000
