episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,loss,reward
1,710400,672000,0.583950, 1.972219, 0.486486, 0.000000, 60,0, 0,0.8683000860773256
2,2016000,1478400,1.333333, 1.166667, 0.489130, 0.000000, 60,54, 0,0.2869913199154672
3,2016000,1113600,0.250000, 1.333333, 0.489130, 0.000000, 60,38, 0,0.32326598975297827
4,710400,1305600,0.500000, 1.330888, 0.466321, 0.000000, 60,40, 0,0.8258953118603698
5,1171200,1305600,0.000000, 1.833333, 0.460358, 0.000000, 60,42, 0,0.7566921602935761
6,1171200,1305600,0.500000, 0.583333, 0.456853, 0.000000, 60,42, 0,0.7566921602935761
7,1171200,672000,0.400000, 1.333333, 0.441176, 0.000000, 60,18, 0,0.7990969345105319
8,1612800,576000,0.333333, 2.166667, 0.495868, 0.000000, 60,4, 0,0.6360032660158135
9,1171200,1478400,0.000000, 2.250000, 0.337079, 0.050000, 60,50, 0,0.7376011367944948
10,940800,576000,0.250000, 2.416667, 0.465116, 0.000000, 60,1, 0,0.8467226650575445
11,1171200,844800,0.333333, 2.000000, 0.489130, 0.000000, 60,26, 0,0.791418973452249
12,1804800,576000,0.000000, 1.733333, 0.474934, 0.000000, 60,5, 0,0.5193095131927464
13,710400,1305600,0.650000, 2.350000, 0.189076, 0.000000, 60,40, 0,0.8258953118603698
14,710400,1305600,0.250000, 2.083333, 0.480000, 0.000000, 60,40, 0,0.8258953118603698
15,940800,576000,0.583333, 2.016667, 0.461538, 0.000000, 60,9, 0,0.8467226650575445
16,710400,1632000,0.333333, 0.833333, 0.494505, 0.000000, 60,56, 0,0.7867639148918597
17,710400,1113600,0.250000, 1.900000, 0.414747, 0.000000, 60,32, 0,0.8430789581987997
18,2016000,844800,0.500000, 3.050000, 0.469974, 0.005556, 60,30, 0,0.3408091565732214
19,940800,1305600,0.333333, 1.500000, 0.489130, 0.000000, 60,41, 0,0.8011383309779592
20,2016000,672000,0.500000, 1.766667, 0.489130, 0.000000, 60,22, 0,0.3484871176315042
21,1171200,576000,0.650000, 2.033333, 0.489130, 0.000000, 60,10, 0,0.8022764943731614
22,1401600,672000,0.333333, 1.166667, 0.076989, 0.044444, 60,19, 0,0.7279539080468849
23,710400,672000,0.400000, 3.050000, 0.478723, 0.000000, 60,16, 0,0.8683000860773256
24,710400,576000,0.333333, 2.500000, 0.448878, 0.000000, 60,0, 0,0.8714796459399551
25,710400,672000,0.000000, 1.500000, 0.254958, 0.027778, 60,16, 0,0.8683000860773256
26,2227200,1478400,0.250000, 1.600000, 0.466321, 0.000000, 60,55, 0,0.0715716427170201
27,1612800,672000,0.400000, 1.166667, 0.458015, 0.000000, 60,20, 0,0.6328237061531841
28,2016000,1113600,0.000000, 3.016667, 0.388769, 0.000000, 60,38, 0,0.32326598975297827
29,940800,576000,0.250000, 1.566667, 0.466321, 0.000000, 60,1, 0,0.8467226650575445
30,1171200,576000,0.400000, 1.766667, 0.463918, 0.000000, 60,10, 0,0.8022764943731614
31,2227200,844800,0.250000, 0.666667, 0.468750, 0.000000, 60,31, 0,0.1253894793747743
32,1804800,576000,0.000000, 1.666667, 0.448878, 0.038889, 60,5, 0,0.5193095131927464
33,2227200,576000,0.250000, 3.000000, 0.486486, 0.000000, 60,7, 0,0.1362470002956867
34,1171200,672000,0.166667, 3.000000, 0.498615, 0.022222, 60,18, 1.302025318145752,0.7990969345105319
35,1171200,844800,0.450000, 1.350000, 0.448878, 0.000000, 60,26, 0.966037392616272,0.791418973452249
36,2227200,1113600,0.250000, 0.916667, 0.460358, 0.000000, 60,39, 0.6792995929718018,0.10784631255453125
37,2016000,1305600,0.400000, 1.716667, 0.443350, 0.000000, 60,46, 0.5130612254142761,0.30608234341454843
38,940800,1478400,0.666667, 1.583333, 0.486486, 0.000000, 60,49, 0.3222082555294037,0.7820473074788779
39,1171200,844800,0.250000, 1.166667, 0.489130, 0.000000, 60,26, 0.2443864792585373,0.791418973452249
40,1804800,1632000,0.450000, 0.833333, 0.211268, 0.000000, 60,61, 0.12635259330272675,0.43459378214465094
41,1171200,1113600,0.333333, 1.166667, 0.452261, 0.000000, 60,34, 0.14119583368301392,0.7738758066320061
42,940800,672000,0.250000, 1.916667, 0.466321, 0.000000, 60,17, 0.14447139203548431,0.8435431051949149
43,2016000,1113600,0.500000, 1.933333, 0.454545, 0.000000, 60,38, 0.23052656650543213,0.32326598975297827
44,710400,1113600,1.066667, 1.000000, 0.485175, 0.000000, 60,32, 0.23000647127628326,0.8430789581987997
45,1171200,672000,1.000000, 1.083333, 0.485175, 0.000000, 60,18, 0.1397923082113266,0.7990969345105319
46,710400,576000,1.400000, 2.083333, 0.458015, 0.000000, 60,8, 0.1799454391002655,0.8714796459399551
47,940800,844800,1.600000, 3.083333, 0.455696, 0.000000, 60,25, 0.24164500832557678,0.835865144136632
48,1612800,1478400,1.500000, 1.500000, 0.453401, 0.000000, 60,52, 0.22721582651138306,0.5713279084371469
49,1171200,1305600,1.916667, 1.533333, 0.469974, 0.000000, 60,42, 0.06908340752124786,0.7566921602935761
50,1171200,576000,0.000000, 0.666667, 0.451128, 0.005556, 60,10, 0.20316621661186218,0.8022764943731614
51,710400,1113600,0.000000, 1.666667, 0.185185, 0.005556, 60,32, 0.14258162677288055,0.8430789581987997
52,1612800,576000,0.000000, 2.850000, 0.461538, 0.000000, 60,12, 0.12356926500797272,0.6360032660158135
53,2016000,1632000,0.400000, 1.166667, 0.478723, 0.000000, 60,62, 0.13148336112499237,0.26695094644603823
54,940800,576000,0.400000, 0.666667, 0.489130, 0.000000, 60,9, 0.1208910346031189,0.8467226650575445
55,940800,576000,0.000000, 1.433333, 0.489130, 0.000000, 60,1, 0.09990148991346359,0.8467226650575445
56,2016000,1632000,0.933333, 1.983333, 0.453401, 0.000000, 60,62, 0.07501442730426788,0.26695094644603823
57,1804800,844800,0.500000, 1.500000, 0.460358, 0.000000, 60,29, 0.06970557570457458,0.508451992271834
58,2227200,672000,0.333333, 0.400000, 0.452261, 0.000000, 60,23, 0.04808003082871437,0.13306744043305718
59,940800,576000,0.583333, 1.916667, 0.454545, 0.000000, 60,9, 0.04194939509034157,0.8467226650575445
60,710400,576000,0.250000, 2.500000, 0.359281, 0.000000, 60,8, 0.036831341683864594,0.8714796459399551
61,940800,576000,0.200000, 3.300000, 0.482574, 0.000000, 60,1, 0.034822553396224976,0.8467226650575445
62,2016000,576000,0.250000, 2.416667, 0.460358, 0.000000, 60,14, 0.024296365678310394,0.35166667749413383
63,940800,1632000,0.333333, 1.400000, 0.476190, 0.000000, 60,57, 0.04562553018331528,0.7620069340094491
64,710400,844800,0.250000, 1.333333, 0.206659, 0.005556, 60,24, 0.12889167666435242,0.8606221250190428
65,2227200,672000,0.250000, 2.100000, 0.489130, 0.000000, 60,23, 0.12450025230646133,0.13306744043305718
66,1612800,1113600,0.250000, 2.250000, 0.498615, 0.000000, 60,36, 0.10636790096759796,0.6076025782746581
67,940800,672000,0.000000, 2.733333, 0.472441, 0.000000, 60,17, 0.1612451821565628,0.8435431051949149
68,2016000,672000,0.000000, 1.666667, 0.486486, 0.000000, 60,22, 0.0869397446513176,0.3484871176315042
69,1804800,1632000,0.800000, 1.600000, 0.473684, 0.000000, 60,61, 0.07753068208694458,0.43459378214465094
70,1171200,844800,0.250000, 1.650000, 0.489130, 0.000000, 60,26, 0.06831573694944382,0.791418973452249
71,1401600,1478400,0.333333, 1.933333, 0.384615, 0.000000, 60,51, 0.011437760666012764,0.6664581103308478
72,710400,576000,0.500000, 1.833333, 0.455696, 0.000000, 60,8, 0.10572412610054016,0.8714796459399551
73,1804800,672000,0.250000, 1.583333, 0.485175, 0.000000, 60,21, 0.10156438499689102,0.5161299533301169
74,710400,1632000,0.250000, 1.833333, 0.478723, 0.000000, 60,56, 0.03415188938379288,0.7867639148918597
75,1804800,844800,0.250000, 2.166667, 0.489130, 0.000000, 60,29, 0.14560900628566742,0.508451992271834
76,1612800,1478400,0.250000, 0.833333, 0.180723, 0.061111, 60,52, 0.08185460418462753,0.5713279084371469
77,940800,844800,0.000000, 1.166667, 0.495868, 0.000000, 60,25, 0.0487063005566597,0.835865144136632
78,1401600,844800,0.250000, 1.266667, 0.474934, 0.000000, 60,27, 0.05730341747403145,0.720275946988602
79,2016000,1305600,0.333333, 2.200000, 0.408163, 0.000000, 60,46, 0.04078765586018562,0.30608234341454843
80,1171200,672000,0.583333, 1.150000, 0.478723, 0.000000, 60,18, 0.18076559901237488,0.7990969345105319
81,1171200,1632000,0.142857, 1.113095, 0.433735, 0.000000, 60,58, 0.16695202887058258,0.717560763325066
82,710400,576000,0.333333, 1.719048, 0.482574, 0.000000, 60,8, 0.18467603623867035,0.8714796459399551
83,2016000,672000,0.400000, 1.900000, 0.485175, 0.000000, 60,22, 0.1249060109257698,0.3484871176315042
84,1171200,844800,0.166667, 2.300000, 0.446650, 0.000000, 60,26, 0.016390018165111542,0.791418973452249
85,1612800,672000,0.000000, 2.504762, 0.467532, 0.000000, 60,20, 0.030466154217720032,0.6328237061531841
86,940800,1632000,0.583333, 1.600000, 0.459184, 0.000000, 60,57, 0.03899962827563286,0.7620069340094491
87,1612800,1113600,0.333333, 0.733333, 0.401786, 0.000000, 60,36, 0.007855482399463654,0.6076025782746581
88,1612800,1113600,0.333333, 2.033333, 0.487805, 0.000000, 60,36, 0.02917439490556717,0.6076025782746581
89,1804800,672000,0.333333, 2.550000, 0.456853, 0.000000, 60,21, 0.03977994993329048,0.5161299533301169
