episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,loss,reward
1,710400,1785600,0.333172, 1.213474, 0.434783, 0.016667, 26,0, 0,0.8036797974196674
2,940800,1305600,1.000000, 0.333333, 0.216086, 0.022222, 26,41, 0,0.8411383309779592
3,710400,844800,1.333333, 2.000000, 0.269865, 0.016667, 26,24, 0,0.9006221250190428
4,2227200,1113600,1.250000, 2.583333, 0.477454, 0.005556, 26,39, 0,0.1478463125545313
5,2227200,1305600,1.000000, 1.333333, 0.243572, 0.011111, 26,47, 0,0.13066266621610145
6,1171200,576000,1.333333, 1.983333, 0.286169, 0.016667, 26,2, 0,0.8422764943731614
7,1171200,844800,1.625000, 2.339286, 0.453401, 0.011111, 26,26, 0,0.831418973452249
8,1171200,844800,0.946429, 2.109127, 0.471204, 0.005556, 25,26, 0,0.791418973452249
9,1401600,1305600,0.500000, 1.000000, 0.473684, 0.011111, 25,43, 0,0.6855491338299291
10,2227200,576000,0.000000, 1.333333, 0.478723, 0.016667, 25,15, 0,0.1362470002956867
11,710400,1113600,0.333333, 2.800000, 0.394737, 0.005556, 25,32, 0,0.8430789581987997
12,2016000,672000,0.000000, 2.316667, 0.462725, 0.011111, 25,22, 0,0.3484871176315042
13,1171200,1113600,0.000000, 2.333333, 0.446650, 0.000000, 26,34, 0,0.8138758066320061
14,2227200,1305600,0.583333, 1.666667, 0.493151, 0.000000, 26,47, 0,0.13066266621610145
15,1171200,844800,0.200000, 1.900000, 0.477454, 0.011111, 26,26, 0,0.831418973452249
16,2227200,672000,0.000000, 2.566667, 0.493151, 0.016667, 26,23, 0,0.17306744043305722
17,940800,576000,0.000000, 2.766667, 0.452261, 0.016667, 26,1, 0,0.8867226650575445
18,1171200,1113600,0.250000, 1.833333, 0.305603, 0.005556, 26,34, 0,0.8138758066320061
19,940800,1478400,0.583333, 1.516667, 0.306644, 0.016667, 26,49, 0,0.8220473074788779
20,2227200,576000,0.000000, 1.566667, 0.478723, 0.000000, 26,15, 0,0.17624700029568674
21,2016000,1113600,0.000000, 1.800000, 0.465116, 0.016667, 26,38, 0,0.3632659897529783
22,1171200,844800,0.250000, 2.500000, 0.460358, 0.016667, 26,26, 0,0.831418973452249
23,1171200,1478400,0.000000, 0.833333, 0.493151, 0.005556, 26,50, 0,0.7776011367944948
24,710400,576000,0.250000, 2.133333, 0.480000, 0.011111, 26,8, 0,0.9114796459399551
25,2016000,1478400,0.000000, 1.666667, 0.431655, 0.000000, 26,54, 0,0.32699131991546726
26,1804800,576000,0.000000, 2.666667, 0.463918, 0.022222, 26,13, 0,0.5593095131927465
27,710400,1632000,0.533333, 2.500000, 0.357853, 0.011111, 26,56, 0,0.8267639148918597
28,2016000,1478400,0.000000, 0.333333, 0.485175, 0.016667, 25,54, 0,0.2869913199154672
29,1401600,1478400,0.000000, 1.166667, 0.322581, 0.000000, 25,51, 0,0.6664581103308478
30,2227200,576000,0.000000, 1.833333, 0.493151, 0.011111, 25,7, 0,0.1362470002956867
31,1401600,1113600,0.250000, 3.166667, 0.447761, 0.005556, 25,35, 0,0.7027327801683589
32,2016000,576000,0.166667, 3.114286, 0.477454, 0.011111, 25,6, 0,0.35166667749413383
33,2016000,576000,0.400000, 3.166667, 0.447761, 0.022222, 26,6, 0,0.39166667749413386
34,2227200,844800,0.625000, 1.307143, 0.504202, 0.005556, 26,31, 0.8364826440811157,0.16538947937477433
35,940800,1632000,0.250000, 0.833333, 0.467532, 0.016667, 26,57, 0.5764064192771912,0.8020069340094491
36,1171200,672000,0.250000, 2.083333, 0.462725, 0.011111, 26,18, 0.4176374077796936,0.8390969345105319
37,1804800,672000,0.200000, 2.416667, 0.465116, 0.016667, 25,21, 0.29149433970451355,0.5161299533301169
38,1171200,1305600,0.000000, 0.000000, 0.478723, 0.011111, 25,42, 0.2720871865749359,0.7566921602935761
39,940800,576000,1.400000, 2.083333, 0.477454, 0.016667, 25,9, 0.2487444281578064,0.8467226650575445
40,2016000,1305600,0.000000, 0.850000, 0.461538, 0.011111, 25,46, 0.21595194935798645,0.30608234341454843
41,1612800,576000,0.000000, 2.250000, 0.136260, 0.050000, 25,12, 0.11021514981985092,0.6360032660158135
42,1401600,1305600,0.250000, 1.933333, 0.478723, 0.016667, 26,43, 0.23389527201652527,0.7255491338299291
43,2227200,844800,0.000000, 0.916667, 0.472441, 0.011111, 26,31, 0.13302019238471985,0.16538947937477433
44,1171200,1113600,0.000000, 1.416667, 0.453401, 0.022222, 26,34, 0.12342000007629395,0.8138758066320061
45,1171200,1113600,0.000000, 2.650000, 0.485175, 0.005556, 26,34, 0.10323493927717209,0.8138758066320061
46,1612800,1478400,0.000000, 1.333333, 0.493151, 0.011111, 26,52, 0.10548370331525803,0.6113279084371469
47,1612800,672000,0.000000, 1.566667, 0.458015, 0.011111, 26,20, 0.11097109317779541,0.6728237061531841
48,2016000,672000,0.000000, 2.100000, 0.489130, 0.011111, 26,22, 0.09399756789207458,0.38848711763150423
49,2016000,672000,0.000000, 2.000000, 0.474934, 0.005556, 26,22, 0.10357281565666199,0.38848711763150423
