episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,loss,reward
1,825600,672000,0.425866, 1.949118, 0.458015, 0.000000, 25,0, 0,0.8579691196765308
2,1612800,576000,0.000000, 3.150000, 0.350775, 0.005525, 25,12, 0,0.6360032660158135
3,1804800,1113600,0.200000, 3.150000, 0.472441, 0.000000, 25,37, 0,0.4909088254515911
4,2016000,576000,0.500000, 1.916667, 0.493151, 0.000000, 26,6, 0,0.39166667749413386
5,1612800,576000,0.250000, 2.166667, 0.468750, 0.005556, 26,4, 0,0.6760032660158135
6,1401600,844800,0.000000, 3.400000, 0.458015, 0.000000, 26,27, 0,0.760275946988602
7,1171200,1478400,0.200000, 2.933333, 0.379747, 0.000000, 26,50, 0,0.7776011367944948
8,2227200,1478400,0.250000, 2.000000, 0.477454, 0.000000, 25,55, 0,0.0715716427170201
9,1612800,1632000,0.250000, 2.333333, 0.480000, 0.000000, 25,60, 0,0.551287534967718
10,710400,576000,0.000000, 1.766667, 0.469974, 0.000000, 25,0, 0,0.8714796459399551
11,710400,576000,0.250000, 2.541667, 0.485175, 0.005556, 25,8, 0,0.8714796459399551
12,1171200,1478400,0.000000, 2.100000, 0.455696, 0.000000, 26,50, 0,0.7776011367944948
13,1804800,1632000,0.000000, 1.416667, 0.504202, 0.000000, 26,61, 0,0.474593782144651
14,710400,576000,0.333333, 0.400000, 0.463918, 0.005556, 26,8, 0,0.9114796459399551
15,1804800,1632000,0.250000, 1.666667, 0.469974, 0.000000, 26,61, 0,0.474593782144651
16,710400,576000,0.500000, 2.666667, 0.473684, 0.000000, 26,8, 0,0.9114796459399551
17,1401600,1632000,0.000000, 1.666667, 0.485175, 0.000000, 26,59, 0,0.6864177368614189
18,710400,1113600,0.583333, 1.833333, 0.327273, 0.000000, 26,32, 0,0.8830789581987998
19,1171200,672000,0.250000, 1.666667, 0.284360, 0.000000, 26,18, 0,0.8390969345105319
20,1171200,1478400,1.000000, 2.250000, 0.482574, 0.000000, 26,50, 0,0.7776011367944948
